Delta = 5.263e-02 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.24118e-02       3.80110e-02       3.42782e-02
    2  2.00e-05      6.25581e-02       9.28592e-02       7.26585e-02
    3  3.00e-05      1.02677e-01       1.27665e-01       1.11006e-01
    4  4.00e-05      1.43733e-01       1.30052e-01       1.39172e-01
    5  5.00e-05      1.74052e-01       1.64040e-01       1.70715e-01
    6  6.00e-05      2.27269e-01       1.51856e-01       2.02131e-01
    7  7.00e-05      2.74353e-01       2.02699e-01       2.50468e-01
    8  8.00e-05      3.24143e-01       2.44561e-01       2.97616e-01
    9  9.00e-05      3.45893e-01       2.37120e-01       3.09635e-01
   10  1.00e-04      3.81768e-01       2.22244e-01       3.28593e-01
   11  1.10e-04      4.15285e-01       2.75221e-01       3.68597e-01
   12  1.20e-04      4.41537e-01       2.60269e-01       3.81115e-01
   13  1.30e-04      4.90830e-01       2.28345e-01       4.03335e-01
   14  1.40e-04      5.11961e-01       2.61465e-01       4.28462e-01
   15  1.50e-04      5.39858e-01       2.87815e-01       4.55844e-01
   16  1.60e-04      5.78982e-01       2.78864e-01       4.78943e-01
   17  1.70e-04      6.44041e-01       2.67918e-01       5.18666e-01
   18  1.80e-04      6.94474e-01       2.80304e-01       5.56418e-01
   19  1.90e-04      7.42200e-01       2.95255e-01       5.93218e-01
   20  2.00e-04      8.04045e-01       2.93341e-01       6.33810e-01
   21  2.10e-04      8.31105e-01       3.14450e-01       6.58886e-01
   22  2.20e-04      8.73663e-01       3.47678e-01       6.98335e-01
   23  2.30e-04      9.16883e-01       3.07784e-01       7.13850e-01
   24  2.40e-04      9.40199e-01       3.26982e-01       7.35794e-01
   25  2.50e-04      9.65402e-01       2.90144e-01       7.40316e-01
   26  2.60e-04      9.93301e-01       3.33908e-01       7.73503e-01
   27  2.70e-04      1.03699e+00       2.17966e-01       7.63979e-01
   28  2.80e-04      1.05540e+00       2.70260e-01       7.93684e-01
   29  2.90e-04      1.07330e+00       2.61531e-01       8.02714e-01
   30  3.00e-04      1.11732e+00       3.35439e-01       8.56690e-01
   31  3.10e-04      1.15490e+00       2.82078e-01       8.63961e-01
   32  3.20e-04      1.20115e+00       2.09980e-01       8.70759e-01
   33  3.30e-04      1.24186e+00       3.25547e-01       9.36422e-01
   34  3.40e-04      1.27221e+00       2.98828e-01       9.47747e-01
   35  3.50e-04      1.28123e+00       2.87654e-01       9.50040e-01
   36  3.60e-04      1.33744e+00       2.70767e-01       9.81885e-01
   37  3.70e-04      1.41566e+00       2.81982e-01       1.03777e+00
   38  3.80e-04      1.44612e+00       3.63634e-01       1.08529e+00
   39  3.90e-04      1.48575e+00       3.00804e-01       1.09077e+00
   40  4.00e-04      1.52356e+00       2.96149e-01       1.11442e+00
   41  4.10e-04      1.49910e+00       3.29005e-01       1.10907e+00
   42  4.20e-04      1.54057e+00       3.39525e-01       1.14022e+00
   43  4.30e-04      1.52851e+00       3.59428e-01       1.13882e+00
   44  4.40e-04      1.59189e+00       3.58034e-01       1.18060e+00
   45  4.50e-04      1.58886e+00       3.32977e-01       1.17024e+00
   46  4.60e-04      1.62112e+00       3.52100e-01       1.19812e+00
   47  4.70e-04      1.62223e+00       3.07248e-01       1.18390e+00
   48  4.80e-04      1.69391e+00       2.95010e-01       1.22761e+00
   49  4.90e-04      1.78972e+00       2.59887e-01       1.27978e+00
   50  5.00e-04      1.80317e+00       2.80680e-01       1.29568e+00
   51  5.10e-04      1.84977e+00       2.55348e-01       1.31829e+00
   52  5.20e-04      1.90489e+00       3.42006e-01       1.38393e+00
   53  5.30e-04      1.94843e+00       3.39731e-01       1.41220e+00
   54  5.40e-04      2.00709e+00       3.21202e-01       1.44513e+00
   55  5.50e-04      2.04955e+00       3.08797e-01       1.46930e+00
   56  5.60e-04      2.11077e+00       3.39639e-01       1.52039e+00
   57  5.70e-04      2.17500e+00       2.77970e-01       1.54265e+00
   58  5.80e-04      2.23321e+00       3.17410e-01       1.59461e+00
   59  5.90e-04      2.25845e+00       3.28340e-01       1.61508e+00
   60  6.00e-04      2.33114e+00       2.96351e-01       1.65288e+00
   61  6.10e-04      2.37114e+00       3.13238e-01       1.68517e+00
   62  6.20e-04      2.39390e+00       3.11787e-01       1.69986e+00
   63  6.30e-04      2.41492e+00       3.07604e-01       1.71248e+00
