Delta = -3.684e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      4.06948e-02       4.62769e-02       4.25555e-02
    2  2.00e-05      7.07960e-02       6.89241e-02       7.01720e-02
    3  3.00e-05      9.86571e-02       1.02255e-01       9.98565e-02
    4  4.00e-05      1.36419e-01       1.57444e-01       1.43427e-01
    5  5.00e-05      1.67491e-01       1.76922e-01       1.70635e-01
    6  6.00e-05      2.16809e-01       1.89994e-01       2.07871e-01
    7  7.00e-05      2.47290e-01       2.06678e-01       2.33753e-01
    8  8.00e-05      2.58827e-01       2.27430e-01       2.48361e-01
    9  9.00e-05      3.02962e-01       2.12020e-01       2.72648e-01
   10  1.00e-04      3.38424e-01       2.32558e-01       3.03136e-01
   11  1.10e-04      3.69377e-01       2.47962e-01       3.28905e-01
   12  1.20e-04      4.21902e-01       2.91255e-01       3.78353e-01
   13  1.30e-04      4.64866e-01       2.76427e-01       4.02053e-01
   14  1.40e-04      4.67650e-01       2.58497e-01       3.97933e-01
   15  1.50e-04      5.01165e-01       2.92791e-01       4.31707e-01
   16  1.60e-04      5.20586e-01       3.05832e-01       4.49002e-01
   17  1.70e-04      5.63930e-01       2.56054e-01       4.61305e-01
   18  1.80e-04      6.20455e-01       2.50738e-01       4.97216e-01
   19  1.90e-04      6.53752e-01       2.62028e-01       5.23177e-01
   20  2.00e-04      6.80762e-01       2.63505e-01       5.41676e-01
   21  2.10e-04      7.20444e-01       2.77121e-01       5.72670e-01
   22  2.20e-04      7.40970e-01       2.94184e-01       5.92041e-01
   23  2.30e-04      7.62500e-01       2.67030e-01       5.97343e-01
   24  2.40e-04      7.69223e-01       2.81777e-01       6.06741e-01
   25  2.50e-04      7.99304e-01       2.69057e-01       6.22555e-01
   26  2.60e-04      8.29067e-01       2.44156e-01       6.34097e-01
   27  2.70e-04      8.41437e-01       2.04983e-01       6.29286e-01
   28  2.80e-04      8.89823e-01       2.89782e-01       6.89809e-01
   29  2.90e-04      9.01926e-01       2.34155e-01       6.79336e-01
   30  3.00e-04      9.13251e-01       2.47528e-01       6.91343e-01
   31  3.10e-04      9.47765e-01       2.45655e-01       7.13728e-01
   32  3.20e-04      9.76220e-01       2.58937e-01       7.37125e-01
   33  3.30e-04      9.99553e-01       2.73371e-01       7.57492e-01
   34  3.40e-04      1.02265e+00       3.18672e-01       7.87989e-01
   35  3.50e-04      1.05060e+00       2.89048e-01       7.96746e-01
   36  3.60e-04      1.10137e+00       3.18907e-01       8.40548e-01
   37  3.70e-04      1.10517e+00       2.73945e-01       8.28093e-01
   38  3.80e-04      1.14724e+00       3.23866e-01       8.72784e-01
   39  3.90e-04      1.16031e+00       2.88307e-01       8.69641e-01
   40  4.00e-04      1.20932e+00       3.04155e-01       9.07597e-01
   41  4.10e-04      1.20632e+00       2.78509e-01       8.97052e-01
   42  4.20e-04      1.33443e+00       3.22038e-01       9.96965e-01
   43  4.30e-04      1.41208e+00       2.97218e-01       1.04046e+00
   44  4.40e-04      1.41511e+00       2.36029e-01       1.02209e+00
   45  4.50e-04      1.42380e+00       3.13845e-01       1.05381e+00
   46  4.60e-04      1.47019e+00       2.63668e-01       1.06802e+00
   47  4.70e-04      1.53185e+00       2.95604e-01       1.11977e+00
   48  4.80e-04      1.60630e+00       2.45656e-01       1.15275e+00
   49  4.90e-04      1.66161e+00       2.88450e-01       1.20389e+00
   50  5.00e-04      1.73976e+00       3.03051e-01       1.26086e+00
   51  5.10e-04      1.80522e+00       2.79425e-01       1.29662e+00
   52  5.20e-04      1.83703e+00       2.85483e-01       1.31985e+00
   53  5.30e-04      1.91815e+00       2.83482e-01       1.37326e+00
