Delta = -6.579e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.26986e-02       2.16420e-02       1.56797e-02
    2  2.00e-06      2.53355e-02       3.37687e-02       2.81465e-02
    3  3.00e-06      3.37147e-02       5.62513e-02       4.12269e-02
    4  4.00e-06      4.79545e-02       7.51737e-02       5.70276e-02
    5  5.00e-06      6.06002e-02       7.23855e-02       6.45287e-02
    6  6.00e-06      7.60716e-02       9.38209e-02       8.19880e-02
    7  7.00e-06      8.67927e-02       1.16739e-01       9.67747e-02
    8  8.00e-06      9.61363e-02       1.25524e-01       1.05932e-01
    9  9.00e-06      1.20063e-01       1.41452e-01       1.27193e-01
   10  1.00e-05      1.34306e-01       1.32918e-01       1.33843e-01
   11  1.10e-05      1.47365e-01       1.42665e-01       1.45799e-01
   12  1.20e-05      1.60572e-01       1.87780e-01       1.69642e-01
   13  1.30e-05      1.77243e-01       1.55931e-01       1.70139e-01
   14  1.40e-05      1.91571e-01       1.88827e-01       1.90656e-01
   15  1.50e-05      2.07454e-01       1.93774e-01       2.02894e-01
   16  1.60e-05      2.25502e-01       2.02967e-01       2.17990e-01
   17  1.70e-05      2.45512e-01       1.92549e-01       2.27857e-01
   18  1.80e-05      2.53069e-01       2.10074e-01       2.38737e-01
   19  1.90e-05      2.75586e-01       2.10823e-01       2.53998e-01
   20  2.00e-05      2.78219e-01       2.36612e-01       2.64350e-01
   21  2.10e-05      2.85984e-01       2.36176e-01       2.69382e-01
   22  2.20e-05      2.91365e-01       2.63036e-01       2.81922e-01
   23  2.30e-05      3.09084e-01       2.53417e-01       2.90529e-01
   24  2.40e-05      3.25897e-01       2.39648e-01       2.97147e-01
   25  2.50e-05      3.39147e-01       2.37521e-01       3.05272e-01
   26  2.60e-05      3.59337e-01       2.33708e-01       3.17460e-01
   27  2.70e-05      3.66083e-01       1.92116e-01       3.08094e-01
   28  2.80e-05      3.65239e-01       2.93759e-01       3.41412e-01
   29  2.90e-05      3.88433e-01       2.63067e-01       3.46644e-01
   30  3.00e-05      3.98250e-01       2.83889e-01       3.60130e-01
   31  3.10e-05      4.19839e-01       2.78641e-01       3.72773e-01
   32  3.20e-05      4.41383e-01       2.77725e-01       3.86830e-01
   33  3.30e-05      4.69987e-01       2.62772e-01       4.00916e-01
   34  3.40e-05      4.97706e-01       2.75970e-01       4.23794e-01
   35  3.50e-05      5.20814e-01       2.68213e-01       4.36614e-01
   36  3.60e-05      5.37399e-01       3.01687e-01       4.58828e-01
   37  3.70e-05      5.56296e-01       2.70946e-01       4.61179e-01
   38  3.80e-05      5.56873e-01       2.93656e-01       4.69134e-01
   39  3.90e-05      5.69350e-01       2.85262e-01       4.74654e-01
   40  4.00e-05      6.00846e-01       2.84761e-01       4.95484e-01
   41  4.10e-05      6.21532e-01       3.70836e-01       5.37966e-01
   42  4.20e-05      6.34509e-01       2.79271e-01       5.16096e-01
   43  4.30e-05      6.39323e-01       2.99153e-01       5.25933e-01
   44  4.40e-05      6.59281e-01       2.93838e-01       5.37466e-01
   45  4.50e-05      6.80845e-01       2.88451e-01       5.50047e-01
   46  4.60e-05      6.83067e-01       3.11778e-01       5.59304e-01
   47  4.70e-05      6.97803e-01       2.37899e-01       5.44501e-01
   48  4.80e-05      7.19790e-01       3.23846e-01       5.87808e-01
   49  4.90e-05      7.40503e-01       2.30313e-01       5.70440e-01
   50  5.00e-05      7.59078e-01       2.92957e-01       6.03704e-01
   51  5.10e-05      7.84193e-01       2.82607e-01       6.16998e-01
   52  5.20e-05      8.14490e-01       2.61789e-01       6.30256e-01
   53  5.30e-05      8.49067e-01       2.47321e-01       6.48485e-01
   54  5.40e-05      8.42972e-01       2.28135e-01       6.38027e-01
   55  5.50e-05      8.43326e-01       2.49157e-01       6.45269e-01
   56  5.60e-05      8.78655e-01       2.37787e-01       6.65032e-01
   57  5.70e-05      9.00482e-01       2.83217e-01       6.94727e-01
   58  5.80e-05      9.21098e-01       2.45654e-01       6.95950e-01
   59  5.90e-05      9.22243e-01       3.33215e-01       7.25900e-01
   60  6.00e-05      9.26495e-01       3.03119e-01       7.18703e-01
   61  6.10e-05      9.38078e-01       3.00500e-01       7.25552e-01
   62  6.20e-05      9.66333e-01       2.61847e-01       7.31504e-01
   63  6.30e-05      9.66352e-01       2.85491e-01       7.39398e-01
   64  6.40e-05      9.71769e-01       2.77567e-01       7.40368e-01
   65  6.50e-05      9.85263e-01       3.37405e-01       7.69310e-01
   66  6.60e-05      9.78402e-01       3.33739e-01       7.63515e-01
   67  6.70e-05      9.94349e-01       3.43539e-01       7.77412e-01
   68  6.80e-05      1.00476e+00       3.55291e-01       7.88267e-01
   69  6.90e-05      1.02409e+00       3.21182e-01       7.89789e-01
   70  7.00e-05      1.02427e+00       2.63592e-01       7.70709e-01
   71  7.10e-05      1.03753e+00       3.14869e-01       7.96645e-01
   72  7.20e-05      1.04422e+00       3.03820e-01       7.97423e-01
   73  7.30e-05      1.06318e+00       2.87849e-01       8.04736e-01
   74  7.40e-05      1.04590e+00       3.29218e-01       8.07003e-01
   75  7.50e-05      1.04813e+00       3.21168e-01       8.05812e-01
   76  7.60e-05      1.04644e+00       4.01934e-01       8.31606e-01
   77  7.70e-05      1.06966e+00       3.25916e-01       8.21746e-01
   78  7.80e-05      1.08728e+00       3.60810e-01       8.45120e-01
   79  7.90e-05      1.12122e+00       4.13437e-01       8.85294e-01
   80  8.00e-05      1.13964e+00       2.86656e-01       8.55314e-01
   81  8.10e-05      1.13583e+00       2.86104e-01       8.52588e-01
   82  8.20e-05      1.15249e+00       3.46131e-01       8.83701e-01
   83  8.30e-05      1.15495e+00       2.49182e-01       8.53027e-01
   84  8.40e-05      1.19561e+00       3.99753e-01       9.30323e-01
   85  8.50e-05      1.18178e+00       3.06947e-01       8.90171e-01
   86  8.60e-05      1.19597e+00       2.75455e-01       8.89131e-01
   87  8.70e-05      1.18905e+00       2.90843e-01       8.89649e-01
   88  8.80e-05      1.19695e+00       2.79123e-01       8.91008e-01
   89  8.90e-05      1.23133e+00       2.76893e-01       9.13182e-01
   90  9.00e-05      1.22770e+00       2.54317e-01       9.03242e-01
   91  9.10e-05      1.24513e+00       3.27545e-01       9.39270e-01
   92  9.20e-05      1.28741e+00       2.86759e-01       9.53861e-01
   93  9.30e-05      1.31435e+00       2.83688e-01       9.70796e-01
   94  9.40e-05      1.34323e+00       3.36285e-01       1.00758e+00
   95  9.50e-05      1.34261e+00       2.88988e-01       9.91403e-01
   96  9.60e-05      1.35785e+00       3.39011e-01       1.01824e+00
   97  9.70e-05      1.35662e+00       3.20778e-01       1.01134e+00
