Delta = 6.939e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      3.52087e-03       4.81839e-03       3.95338e-03
    2  2.00e-06      7.50358e-03       9.60444e-03       8.20387e-03
    3  3.00e-06      1.17474e-02       1.37430e-02       1.24126e-02
    4  4.00e-06      1.65412e-02       1.81074e-02       1.70633e-02
    5  5.00e-06      2.09267e-02       2.47326e-02       2.21953e-02
    6  6.00e-06      2.50718e-02       2.45069e-02       2.48835e-02
    7  7.00e-06      2.66776e-02       2.61208e-02       2.64920e-02
    8  8.00e-06      3.04724e-02       2.64491e-02       2.91313e-02
    9  9.00e-06      3.47620e-02       3.27237e-02       3.40826e-02
   10  1.00e-05      3.94545e-02       3.29953e-02       3.73015e-02
   11  1.10e-05      4.12632e-02       3.88338e-02       4.04534e-02
   12  1.20e-05      4.46569e-02       4.52882e-02       4.48673e-02
   13  1.30e-05      4.85138e-02       4.76736e-02       4.82337e-02
   14  1.40e-05      5.22625e-02       4.88517e-02       5.11256e-02
   15  1.50e-05      5.40018e-02       5.76434e-02       5.52157e-02
   16  1.60e-05      5.59190e-02       5.24009e-02       5.47463e-02
   17  1.70e-05      5.80317e-02       6.15352e-02       5.91996e-02
   18  1.80e-05      6.49714e-02       6.37310e-02       6.45580e-02
   19  1.90e-05      6.63017e-02       7.51012e-02       6.92349e-02
   20  2.00e-05      6.87534e-02       7.57582e-02       7.10883e-02
   21  2.10e-05      7.30729e-02       6.70000e-02       7.10486e-02
   22  2.20e-05      7.97768e-02       8.50357e-02       8.15298e-02
   23  2.30e-05      8.08942e-02       9.71312e-02       8.63065e-02
   24  2.40e-05      8.61112e-02       8.46207e-02       8.56144e-02
   25  2.50e-05      9.12738e-02       9.00561e-02       9.08679e-02
   26  2.60e-05      9.62553e-02       1.07926e-01       1.00145e-01
   27  2.70e-05      9.73292e-02       9.42515e-02       9.63033e-02
   28  2.80e-05      9.94888e-02       7.54591e-02       9.14789e-02
   29  2.90e-05      1.01950e-01       9.93559e-02       1.01086e-01
   30  3.00e-05      1.06296e-01       1.05718e-01       1.06103e-01
   31  3.10e-05      1.12058e-01       8.80884e-02       1.04068e-01
   32  3.20e-05      1.15517e-01       9.86512e-02       1.09895e-01
   33  3.30e-05      1.17589e-01       1.07535e-01       1.14238e-01
   34  3.40e-05      1.22646e-01       9.62782e-02       1.13856e-01
   35  3.50e-05      1.26785e-01       1.13820e-01       1.22463e-01
   36  3.60e-05      1.31463e-01       1.29768e-01       1.30898e-01
   37  3.70e-05      1.32394e-01       1.11788e-01       1.25525e-01
   38  3.80e-05      1.39436e-01       1.22109e-01       1.33660e-01
   39  3.90e-05      1.46383e-01       1.35151e-01       1.42639e-01
   40  4.00e-05      1.47868e-01       1.28378e-01       1.41371e-01
   41  4.10e-05      1.47076e-01       1.31896e-01       1.42016e-01
   42  4.20e-05      1.50430e-01       1.03709e-01       1.34857e-01
   43  4.30e-05      1.53106e-01       1.37617e-01       1.47943e-01
   44  4.40e-05      1.61710e-01       1.17503e-01       1.46974e-01
   45  4.50e-05      1.69478e-01       1.15030e-01       1.51328e-01
   46  4.60e-05      1.78230e-01       1.60684e-01       1.72381e-01
   47  4.70e-05      1.83439e-01       1.60487e-01       1.75788e-01
   48  4.80e-05      1.91325e-01       1.74486e-01       1.85712e-01
   49  4.90e-05      1.93867e-01       1.59915e-01       1.82550e-01
   50  5.00e-05      1.95760e-01       1.82833e-01       1.91451e-01
   51  5.10e-05      2.05755e-01       1.68983e-01       1.93498e-01
   52  5.20e-05      2.13853e-01       1.67678e-01       1.98461e-01
   53  5.30e-05      2.17490e-01       1.71760e-01       2.02247e-01
   54  5.40e-05      2.21181e-01       1.75380e-01       2.05914e-01
   55  5.50e-05      2.26030e-01       1.82779e-01       2.11613e-01
   56  5.60e-05      2.24574e-01       1.40492e-01       1.96547e-01
   57  5.70e-05      2.28943e-01       1.74389e-01       2.10759e-01
   58  5.80e-05      2.32344e-01       1.66067e-01       2.10252e-01
   59  5.90e-05      2.35840e-01       1.59478e-01       2.10386e-01
   60  6.00e-05      2.40394e-01       1.62258e-01       2.14348e-01
   61  6.10e-05      2.42378e-01       1.94163e-01       2.26307e-01
