Delta = -5.690e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      5.20846e+00       0.00000e+00       3.47230e+00
    1  2.00e-06      5.12611e+00       1.12086e-03       3.41778e+00
    2  4.00e-06      5.11250e+00       1.75270e-03       3.40891e+00
    3  6.00e-06      5.15825e+00       2.62504e-03       3.43971e+00
    4  8.00e-06      5.15975e+00       4.13172e-03       3.44121e+00
    5  1.00e-05      5.14046e+00       4.45968e-03       3.42846e+00
    6  1.20e-05      5.20085e+00       6.47259e-03       3.46939e+00
    7  1.40e-05      5.23355e+00       8.69398e-03       3.49193e+00
    8  1.60e-05      5.22815e+00       7.33864e-03       3.48788e+00
    9  1.80e-05      5.23486e+00       9.76189e-03       3.49316e+00
   10  2.00e-05      5.22607e+00       9.53621e-03       3.48722e+00
   11  2.20e-05      5.16776e+00       1.00832e-02       3.44854e+00
   12  2.40e-05      5.16709e+00       9.80499e-03       3.44799e+00
   13  2.60e-05      5.15038e+00       1.36096e-02       3.43812e+00
   14  2.80e-05      5.14884e+00       1.07211e-02       3.43613e+00
   15  3.00e-05      5.19537e+00       1.43587e-02       3.46837e+00
   16  3.20e-05      5.21117e+00       1.32155e-02       3.47852e+00
   17  3.40e-05      5.16782e+00       1.55979e-02       3.45041e+00
   18  3.60e-05      5.17551e+00       1.78928e-02       3.45630e+00
   19  3.80e-05      5.14839e+00       1.55260e-02       3.43743e+00
   20  4.00e-05      5.16587e+00       1.74206e-02       3.44972e+00
   21  4.20e-05      5.14271e+00       1.86259e-02       3.43468e+00
   22  4.40e-05      5.11573e+00       1.79159e-02       3.41646e+00
   23  4.60e-05      5.10375e+00       1.68669e-02       3.40812e+00
   24  4.80e-05      5.10871e+00       1.81466e-02       3.41186e+00
   25  5.00e-05      5.11291e+00       2.10244e-02       3.41562e+00
   26  5.20e-05      5.14578e+00       2.07347e-02       3.43743e+00
   27  5.40e-05      5.13625e+00       2.17484e-02       3.43141e+00
   28  5.60e-05      5.11233e+00       2.47755e-02       3.41648e+00
   29  5.80e-05      5.11257e+00       2.16225e-02       3.41559e+00
   30  6.00e-05      5.12663e+00       2.77051e-02       3.42699e+00
   31  6.20e-05      5.13918e+00       2.24188e-02       3.43359e+00
   32  6.40e-05      5.13737e+00       2.76112e-02       3.43412e+00
   33  6.60e-05      5.11730e+00       2.32986e-02       3.41930e+00
   34  6.80e-05      5.10164e+00       2.90348e-02       3.41077e+00
   35  7.00e-05      5.09723e+00       2.85206e-02       3.40766e+00
   36  7.20e-05      5.08687e+00       2.64395e-02       3.40006e+00
   37  7.40e-05      5.09832e+00       3.05440e-02       3.40906e+00
   38  7.60e-05      5.03887e+00       3.67471e-02       3.37149e+00
   39  7.80e-05      5.08791e+00       2.83578e-02       3.40140e+00
   40  8.00e-05      5.07582e+00       3.09000e-02       3.39418e+00
   41  8.20e-05      5.09669e+00       3.42828e-02       3.40922e+00
   42  8.40e-05      5.07244e+00       4.63906e-02       3.39709e+00
   43  8.60e-05      5.09713e+00       2.88313e-02       3.40770e+00
   44  8.80e-05      5.03416e+00       3.91973e-02       3.36917e+00
   45  9.00e-05      5.03629e+00       4.44286e-02       3.37234e+00
   46  9.20e-05      5.03862e+00       4.30781e-02       3.37344e+00
   47  9.40e-05      5.04247e+00       4.31093e-02       3.37602e+00
   48  9.60e-05      4.99616e+00       4.10047e-02       3.34444e+00
   49  9.80e-05      4.99851e+00       4.73502e-02       3.34813e+00
   50  1.00e-04      4.95461e+00       3.75353e-02       3.31559e+00
   51  1.02e-04      4.93674e+00       4.93102e-02       3.30760e+00
   52  1.04e-04      4.90135e+00       5.39009e-02       3.28553e+00
   53  1.06e-04      4.89881e+00       4.41824e-02       3.28060e+00
   54  1.08e-04      4.84999e+00       5.55532e-02       3.25184e+00
   55  1.10e-04      4.85853e+00       6.26787e-02       3.25991e+00
   56  1.12e-04      4.83931e+00       5.59484e-02       3.24486e+00
   57  1.14e-04      4.79751e+00       4.71271e-02       3.21405e+00
   58  1.16e-04      4.76882e+00       6.72073e-02       3.20162e+00
   59  1.18e-04      4.80765e+00       5.89320e-02       3.22474e+00
   60  1.20e-04      4.77880e+00       5.62241e-02       3.20461e+00
   61  1.22e-04      4.73667e+00       6.50111e-02       3.17945e+00
   62  1.24e-04      4.71740e+00       6.16746e-02       3.16549e+00
   63  1.26e-04      4.73002e+00       7.07809e-02       3.17694e+00
   64  1.28e-04      4.71902e+00       5.75665e-02       3.16520e+00
   65  1.30e-04      4.70653e+00       7.94029e-02       3.16415e+00
   66  1.32e-04      4.68972e+00       6.31669e-02       3.14754e+00
   67  1.34e-04      4.69313e+00       7.19674e-02       3.15274e+00
   68  1.36e-04      4.69193e+00       6.68331e-02       3.15023e+00
   69  1.38e-04      4.65301e+00       6.86721e-02       3.12490e+00
   70  1.40e-04      4.68423e+00       7.09218e-02       3.14646e+00
   71  1.42e-04      4.66921e+00       7.47661e-02       3.13773e+00
   72  1.44e-04      4.62317e+00       8.62081e-02       3.11085e+00
   73  1.46e-04      4.61875e+00       7.29746e-02       3.10349e+00
   74  1.48e-04      4.63581e+00       8.54360e-02       3.11902e+00
   75  1.50e-04      4.64031e+00       9.07394e-02       3.12379e+00
   76  1.52e-04      4.63379e+00       7.80655e-02       3.11522e+00
   77  1.54e-04      4.62353e+00       7.00938e-02       3.10572e+00
   78  1.56e-04      4.61492e+00       8.88244e-02       3.10622e+00
   79  1.58e-04      4.57928e+00       8.53590e-02       3.08131e+00
   80  1.60e-04      4.57857e+00       6.48060e-02       3.07398e+00
   81  1.62e-04      4.52245e+00       8.39946e-02       3.04296e+00
   82  1.64e-04      4.55775e+00       8.43732e-02       3.06662e+00
   83  1.66e-04      4.56377e+00       8.45541e-02       3.07070e+00
   84  1.68e-04      4.53788e+00       8.16787e-02       3.05248e+00
   85  1.70e-04      4.54597e+00       9.88690e-02       3.06360e+00
   86  1.72e-04      4.54968e+00       6.69814e-02       3.05545e+00
   87  1.74e-04      4.54519e+00       9.23887e-02       3.06092e+00
   88  1.76e-04      4.53609e+00       8.72811e-02       3.05316e+00
   89  1.78e-04      4.53482e+00       8.37058e-02       3.05112e+00
   90  1.80e-04      4.55267e+00       8.11729e-02       3.06217e+00
   91  1.82e-04      4.52682e+00       1.01872e-01       3.05184e+00
   92  1.84e-04      4.51763e+00       9.90072e-02       3.04476e+00
   93  1.86e-04      4.49783e+00       9.88406e-02       3.03150e+00
   94  1.88e-04      4.52090e+00       1.00827e-01       3.04754e+00
   95  1.90e-04      4.50034e+00       1.18603e-01       3.03976e+00
   96  1.92e-04      4.47900e+00       9.54017e-02       3.01780e+00
   97  1.94e-04      4.49058e+00       1.08036e-01       3.02973e+00
   98  1.96e-04      4.47094e+00       1.13450e-01       3.01844e+00
   99  1.98e-04      4.45472e+00       1.18446e-01       3.00930e+00
  100  2.00e-04      4.46836e+00       9.30269e-02       3.00991e+00
  101  2.02e-04      4.46995e+00       1.18904e-01       3.01960e+00
  102  2.04e-04      4.43622e+00       1.21842e-01       2.99809e+00
  103  2.06e-04      4.40336e+00       1.05603e-01       2.97077e+00
  104  2.08e-04      4.41650e+00       1.15050e-01       2.98268e+00
  105  2.10e-04      4.42489e+00       1.17826e-01       2.98920e+00
  106  2.12e-04      4.42924e+00       1.10207e-01       2.98956e+00
  107  2.14e-04      4.40301e+00       9.90781e-02       2.96837e+00
  108  2.16e-04      4.41904e+00       1.37235e-01       2.99177e+00
  109  2.18e-04      4.35467e+00       1.10685e-01       2.94001e+00
  110  2.20e-04      4.35492e+00       1.21338e-01       2.94373e+00
  111  2.22e-04      4.34916e+00       1.33191e-01       2.94384e+00
  112  2.24e-04      4.37653e+00       1.47865e-01       2.96698e+00
  113  2.26e-04      4.38067e+00       1.21826e-01       2.96106e+00
  114  2.28e-04      4.40626e+00       1.26982e-01       2.97983e+00
  115  2.30e-04      4.38217e+00       1.38557e-01       2.96763e+00
  116  2.32e-04      4.38419e+00       1.15064e-01       2.96115e+00
  117  2.34e-04      4.42197e+00       1.39079e-01       2.99434e+00
  118  2.36e-04      4.41789e+00       1.29592e-01       2.98846e+00
  119  2.38e-04      4.43732e+00       1.38349e-01       3.00433e+00
  120  2.40e-04      4.36491e+00       1.40371e-01       2.95673e+00
  121  2.42e-04      4.30876e+00       1.27127e-01       2.91488e+00
  122  2.44e-04      4.29929e+00       1.48034e-01       2.91554e+00
  123  2.46e-04      4.30171e+00       1.21802e-01       2.90841e+00
  124  2.48e-04      4.29792e+00       1.33389e-01       2.90974e+00
  125  2.50e-04      4.30924e+00       1.35214e-01       2.91790e+00
  126  2.52e-04      4.28353e+00       1.40172e-01       2.90241e+00
  127  2.54e-04      4.24931e+00       1.18027e-01       2.87222e+00
  128  2.56e-04      4.22047e+00       1.62676e-01       2.86787e+00
  129  2.58e-04      4.23590e+00       1.56011e-01       2.87594e+00
  130  2.60e-04      4.23541e+00       1.34048e-01       2.86829e+00
  131  2.62e-04      4.23053e+00       1.70334e-01       2.87713e+00
  132  2.64e-04      4.23487e+00       1.54861e-01       2.87487e+00
  133  2.66e-04      4.21615e+00       1.49815e-01       2.86070e+00
  134  2.68e-04      4.22714e+00       1.55077e-01       2.86978e+00
  135  2.70e-04      4.22058e+00       1.80808e-01       2.87399e+00
  136  2.72e-04      4.26554e+00       1.24476e-01       2.88519e+00
  137  2.74e-04      4.26185e+00       1.89867e-01       2.90452e+00
  138  2.76e-04      4.25262e+00       1.54796e-01       2.88668e+00
  139  2.78e-04      4.26251e+00       1.56563e-01       2.89386e+00
  140  2.80e-04      4.25885e+00       1.50364e-01       2.88935e+00
  141  2.82e-04      4.26469e+00       1.93859e-01       2.90774e+00
  142  2.84e-04      4.24243e+00       1.49575e-01       2.87815e+00
  143  2.86e-04      4.27561e+00       1.52749e-01       2.90132e+00
  144  2.88e-04      4.26531e+00       1.83906e-01       2.90484e+00
  145  2.90e-04      4.26335e+00       1.51191e-01       2.89263e+00
  146  2.92e-04      4.23508e+00       1.89327e-01       2.88650e+00
  147  2.94e-04      4.23049e+00       1.64992e-01       2.87532e+00
  148  2.96e-04      4.20650e+00       1.79954e-01       2.86432e+00
  149  2.98e-04      4.24178e+00       1.45414e-01       2.87632e+00
  150  3.00e-04      4.27179e+00       1.77243e-01       2.90694e+00
  151  3.02e-04      4.28455e+00       1.65558e-01       2.91156e+00
  152  3.04e-04      4.30430e+00       1.73734e-01       2.92745e+00
  153  3.06e-04      4.27446e+00       1.49433e-01       2.89945e+00
  154  3.08e-04      4.27704e+00       1.73502e-01       2.90919e+00
  155  3.10e-04      4.23213e+00       1.77958e-01       2.88074e+00
  156  3.12e-04      4.20659e+00       1.44925e-01       2.85270e+00
  157  3.14e-04      4.20035e+00       1.61218e-01       2.85397e+00
  158  3.16e-04      4.21084e+00       1.87457e-01       2.86971e+00
  159  3.18e-04      4.22224e+00       1.83949e-01       2.87615e+00
  160  3.20e-04      4.27516e+00       1.65633e-01       2.90532e+00
  161  3.22e-04      4.26633e+00       1.97811e-01       2.91016e+00
  162  3.24e-04      4.29175e+00       1.93625e-01       2.92571e+00
  163  3.26e-04      4.28068e+00       1.53221e-01       2.90486e+00
  164  3.28e-04      4.27118e+00       2.40073e-01       2.92748e+00
  165  3.30e-04      4.25557e+00       1.54837e-01       2.88866e+00
  166  3.32e-04      4.23585e+00       1.63463e-01       2.87839e+00
  167  3.34e-04      4.21661e+00       2.03836e-01       2.87902e+00
  168  3.36e-04      4.21912e+00       1.88554e-01       2.87560e+00
  169  3.38e-04      4.21766e+00       1.57471e-01       2.86426e+00
  170  3.40e-04      4.22007e+00       1.48802e-01       2.86298e+00
  171  3.42e-04      4.22392e+00       1.99346e-01       2.88240e+00
  172  3.44e-04      4.21131e+00       1.73500e-01       2.86538e+00
  173  3.46e-04      4.20145e+00       1.73809e-01       2.85890e+00
  174  3.48e-04      4.18036e+00       2.01640e-01       2.85412e+00
  175  3.50e-04      4.18052e+00       2.02077e-01       2.85437e+00
  176  3.52e-04      4.20400e+00       2.20302e-01       2.87610e+00
  177  3.54e-04      4.17343e+00       2.08691e-01       2.85185e+00
  178  3.56e-04      4.16138e+00       2.29843e-01       2.85087e+00
  179  3.58e-04      4.15558e+00       2.29802e-01       2.84699e+00
  180  3.60e-04      4.14727e+00       2.26473e-01       2.84034e+00
  181  3.62e-04      4.14889e+00       2.10045e-01       2.83594e+00
  182  3.64e-04      4.15245e+00       1.93528e-01       2.83281e+00
  183  3.66e-04      4.13862e+00       1.97130e-01       2.82479e+00
  184  3.68e-04      4.15284e+00       2.26849e-01       2.84418e+00
  185  3.70e-04      4.11156e+00       2.30653e-01       2.81793e+00
  186  3.72e-04      4.15944e+00       2.17711e-01       2.84553e+00
  187  3.74e-04      4.11574e+00       2.26070e-01       2.81918e+00
  188  3.76e-04      4.11872e+00       2.41884e-01       2.82644e+00
  189  3.78e-04      4.09098e+00       2.52769e-01       2.81158e+00
  190  3.80e-04      4.11155e+00       2.15158e-01       2.81275e+00
  191  3.82e-04      4.07730e+00       2.83618e-01       2.81274e+00
  192  3.84e-04      4.08617e+00       1.93239e-01       2.78853e+00
  193  3.86e-04      4.10949e+00       2.49017e-01       2.82267e+00
  194  3.88e-04      4.12177e+00       2.68400e-01       2.83731e+00
  195  3.90e-04      4.11906e+00       2.03918e-01       2.81401e+00
  196  3.92e-04      4.17230e+00       2.16950e-01       2.85385e+00
  197  3.94e-04      4.18696e+00       2.52729e-01       2.87555e+00
  198  3.96e-04      4.13468e+00       2.57566e-01       2.84231e+00
  199  3.98e-04      4.11608e+00       2.20119e-01       2.81742e+00
  200  4.00e-04      4.12523e+00       2.48373e-01       2.83294e+00
  201  4.02e-04      4.09165e+00       2.61522e-01       2.81494e+00
  202  4.04e-04      4.08151e+00       2.33112e-01       2.79871e+00
  203  4.06e-04      4.07518e+00       2.61444e-01       2.80394e+00
  204  4.08e-04      4.10314e+00       1.98817e-01       2.80170e+00
  205  4.10e-04      4.09504e+00       2.88328e-01       2.82614e+00
  206  4.12e-04      4.11744e+00       2.79107e-01       2.83800e+00
  207  4.14e-04      4.08887e+00       2.79820e-01       2.81919e+00
  208  4.16e-04      4.09637e+00       2.84557e-01       2.82577e+00
  209  4.18e-04      4.07364e+00       2.59453e-01       2.80225e+00
  210  4.20e-04      4.12593e+00       2.60800e-01       2.83755e+00
  211  4.22e-04      4.09826e+00       2.85057e-01       2.82719e+00
