Delta = 0.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      6.31710e+00       0.00000e+00       4.21140e+00
    1  2.00e-06      6.22896e+00       2.32363e-03       4.15342e+00
    2  4.00e-06      6.26818e+00       4.51249e-03       4.18029e+00
    3  6.00e-06      6.26258e+00       6.97990e-03       4.17738e+00
    4  8.00e-06      6.30285e+00       7.55733e-03       4.20442e+00
    5  1.00e-05      6.25295e+00       1.00658e-02       4.17199e+00
    6  1.20e-05      6.30241e+00       1.05757e-02       4.20513e+00
    7  1.40e-05      6.27224e+00       1.40965e-02       4.18619e+00
    8  1.60e-05      6.30063e+00       1.40062e-02       4.20509e+00
    9  1.80e-05      6.29065e+00       1.89800e-02       4.20009e+00
   10  2.00e-05      6.27846e+00       1.97218e-02       4.19221e+00
   11  2.20e-05      6.29616e+00       2.14465e-02       4.20459e+00
   12  2.40e-05      6.28330e+00       2.77238e-02       4.19811e+00
   13  2.60e-05      6.29226e+00       2.49372e-02       4.20315e+00
   14  2.80e-05      6.33120e+00       3.15058e-02       4.23130e+00
   15  3.00e-05      6.39556e+00       3.01053e-02       4.27374e+00
   16  3.20e-05      6.43274e+00       3.52602e-02       4.30025e+00
   17  3.40e-05      6.42564e+00       3.70742e-02       4.29612e+00
   18  3.60e-05      6.39290e+00       4.10935e-02       4.27563e+00
   19  3.80e-05      6.43701e+00       4.23675e-02       4.30546e+00
   20  4.00e-05      6.44031e+00       4.25018e-02       4.30771e+00
   21  4.20e-05      6.41545e+00       4.48789e-02       4.29193e+00
   22  4.40e-05      6.39786e+00       4.92456e-02       4.28166e+00
   23  4.60e-05      6.40459e+00       4.78230e-02       4.28567e+00
   24  4.80e-05      6.38509e+00       4.98771e-02       4.27335e+00
   25  5.00e-05      6.35771e+00       5.38775e-02       4.25643e+00
   26  5.20e-05      6.29716e+00       5.39570e-02       4.21609e+00
   27  5.40e-05      6.28465e+00       6.22265e-02       4.21051e+00
   28  5.60e-05      6.32588e+00       5.27561e-02       4.23484e+00
   29  5.80e-05      6.37569e+00       4.77112e-02       4.26636e+00
   30  6.00e-05      6.41208e+00       6.92459e-02       4.29780e+00
   31  6.20e-05      6.38119e+00       7.82442e-02       4.28021e+00
   32  6.40e-05      6.41382e+00       7.84929e-02       4.30204e+00
   33  6.60e-05      6.45616e+00       7.81999e-02       4.33017e+00
   34  6.80e-05      6.51769e+00       7.45019e-02       4.36996e+00
   35  7.00e-05      6.54440e+00       8.48379e-02       4.39122e+00
   36  7.20e-05      6.54785e+00       8.02577e-02       4.39199e+00
   37  7.40e-05      6.55715e+00       8.21106e-02       4.39880e+00
   38  7.60e-05      6.54992e+00       7.19710e-02       4.39060e+00
   39  7.80e-05      6.58044e+00       8.13779e-02       4.41409e+00
   40  8.00e-05      6.59472e+00       8.66104e-02       4.42535e+00
   41  8.20e-05      6.60651e+00       9.13964e-02       4.43480e+00
   42  8.40e-05      6.62009e+00       9.21742e-02       4.44412e+00
   43  8.60e-05      6.58973e+00       7.82335e-02       4.41923e+00
   44  8.80e-05      6.60718e+00       9.52192e-02       4.43653e+00
   45  9.00e-05      6.59458e+00       9.55778e-02       4.42824e+00
   46  9.20e-05      6.62938e+00       9.80494e-02       4.45227e+00
   47  9.40e-05      6.68116e+00       9.85295e-02       4.48695e+00
   48  9.60e-05      6.63629e+00       9.27324e-02       4.45510e+00
   49  9.80e-05      6.65337e+00       9.75005e-02       4.46808e+00
   50  1.00e-04      6.69726e+00       9.03894e-02       4.49497e+00
   51  1.02e-04      6.68252e+00       1.08322e-01       4.49112e+00
   52  1.04e-04      6.75614e+00       1.02432e-01       4.53824e+00
   53  1.06e-04      6.73238e+00       1.00126e-01       4.52163e+00
   54  1.08e-04      6.74752e+00       1.20116e-01       4.53838e+00
   55  1.10e-04      6.72064e+00       1.12410e-01       4.51790e+00
   56  1.12e-04      6.74496e+00       1.02710e-01       4.53088e+00
   57  1.14e-04      6.77546e+00       1.00663e-01       4.55053e+00
   58  1.16e-04      6.80909e+00       8.41140e-02       4.56743e+00
   59  1.18e-04      6.85154e+00       1.28202e-01       4.61043e+00
   60  1.20e-04      6.88207e+00       1.05476e-01       4.62320e+00
   61  1.22e-04      6.86152e+00       1.05578e-01       4.60954e+00
   62  1.24e-04      6.92615e+00       1.31672e-01       4.66133e+00
   63  1.26e-04      6.89853e+00       1.11025e-01       4.63603e+00
   64  1.28e-04      6.87343e+00       1.12095e-01       4.61965e+00
   65  1.30e-04      6.88931e+00       1.32935e-01       4.63719e+00
   66  1.32e-04      6.92927e+00       1.31209e-01       4.66325e+00
   67  1.34e-04      6.98544e+00       1.21076e-01       4.69732e+00
   68  1.36e-04      6.90650e+00       1.23759e-01       4.64559e+00
   69  1.38e-04      6.90045e+00       1.03029e-01       4.63464e+00
   70  1.40e-04      6.97896e+00       1.07385e-01       4.68843e+00
   71  1.42e-04      6.94892e+00       1.26794e-01       4.67488e+00
   72  1.44e-04      6.94107e+00       1.27595e-01       4.66991e+00
   73  1.46e-04      6.90511e+00       1.35541e-01       4.64859e+00
   74  1.48e-04      6.90855e+00       1.53734e-01       4.65695e+00
   75  1.50e-04      6.91113e+00       1.64430e-01       4.66223e+00
   76  1.52e-04      6.93766e+00       1.45405e-01       4.67357e+00
   77  1.54e-04      6.88426e+00       1.13714e-01       4.62741e+00
   78  1.56e-04      6.92088e+00       1.53550e-01       4.66510e+00
   79  1.58e-04      6.92402e+00       1.27173e-01       4.65840e+00
   80  1.60e-04      6.90176e+00       1.63155e-01       4.65556e+00
   81  1.62e-04      6.91184e+00       1.71328e-01       4.66500e+00
   82  1.64e-04      6.97221e+00       1.22147e-01       4.68886e+00
   83  1.66e-04      6.98737e+00       1.63744e-01       4.71283e+00
   84  1.68e-04      7.00969e+00       1.68783e-01       4.72939e+00
   85  1.70e-04      7.02130e+00       1.63183e-01       4.73526e+00
   86  1.72e-04      6.97831e+00       1.65063e-01       4.70723e+00
   87  1.74e-04      7.02529e+00       1.57209e-01       4.73593e+00
   88  1.76e-04      7.04532e+00       1.61707e-01       4.75079e+00
   89  1.78e-04      7.03781e+00       1.34664e-01       4.73676e+00
   90  1.80e-04      7.11431e+00       1.63534e-01       4.79739e+00
   91  1.82e-04      7.05652e+00       1.31408e-01       4.74815e+00
   92  1.84e-04      7.07665e+00       1.46002e-01       4.76643e+00
   93  1.86e-04      7.06154e+00       1.81525e-01       4.76820e+00
   94  1.88e-04      7.13341e+00       1.96057e-01       4.82096e+00
   95  1.90e-04      7.14531e+00       2.01057e-01       4.83056e+00
   96  1.92e-04      7.14112e+00       1.71631e-01       4.81796e+00
   97  1.94e-04      7.14267e+00       1.58759e-01       4.81470e+00
   98  1.96e-04      7.14509e+00       1.72916e-01       4.82103e+00
   99  1.98e-04      7.16243e+00       1.88922e-01       4.83793e+00
  100  2.00e-04      7.17628e+00       1.87944e-01       4.84683e+00
  101  2.02e-04      7.17064e+00       1.63991e-01       4.83509e+00
  102  2.04e-04      7.22729e+00       2.08043e-01       4.88754e+00
  103  2.06e-04      7.21506e+00       2.23651e-01       4.88459e+00
  104  2.08e-04      7.19164e+00       2.24256e-01       4.86918e+00
  105  2.10e-04      7.19680e+00       2.02777e-01       4.86546e+00
  106  2.12e-04      7.18275e+00       2.19367e-01       4.86162e+00
  107  2.14e-04      7.15109e+00       2.37315e-01       4.84650e+00
  108  2.16e-04      7.15198e+00       2.24748e-01       4.84290e+00
  109  2.18e-04      7.12063e+00       2.33667e-01       4.82498e+00
  110  2.20e-04      7.16174e+00       2.12774e-01       4.84542e+00
  111  2.22e-04      7.18124e+00       1.97280e-01       4.85325e+00
  112  2.24e-04      7.21469e+00       2.49167e-01       4.89285e+00
  113  2.26e-04      7.19966e+00       2.57759e-01       4.88569e+00
  114  2.28e-04      7.23863e+00       2.19313e-01       4.89886e+00
  115  2.30e-04      7.23928e+00       2.51254e-01       4.90994e+00
  116  2.32e-04      7.22962e+00       2.19717e-01       4.89299e+00
  117  2.34e-04      7.23637e+00       2.42175e-01       4.90497e+00
  118  2.36e-04      7.18439e+00       2.88853e-01       4.88588e+00
  119  2.38e-04      7.21919e+00       2.23385e-01       4.88725e+00
  120  2.40e-04      7.23368e+00       1.84087e-01       4.88382e+00
  121  2.42e-04      7.23401e+00       2.38007e-01       4.90201e+00
  122  2.44e-04      7.23973e+00       2.73558e-01       4.91767e+00
  123  2.46e-04      7.21782e+00       2.35325e-01       4.89032e+00
  124  2.48e-04      7.23759e+00       1.96797e-01       4.89066e+00
  125  2.50e-04      7.25772e+00       2.26721e-01       4.91405e+00
  126  2.52e-04      7.26071e+00       2.56847e-01       4.92609e+00
  127  2.54e-04      7.23549e+00       2.70211e-01       4.91373e+00
  128  2.56e-04      7.21891e+00       2.81707e-01       4.90651e+00
  129  2.58e-04      7.24478e+00       2.31502e-01       4.90702e+00
  130  2.60e-04      7.33027e+00       2.48400e-01       4.96965e+00
  131  2.62e-04      7.32253e+00       2.41151e-01       4.96207e+00
  132  2.64e-04      7.38732e+00       2.40139e-01       5.00493e+00
  133  2.66e-04      7.45038e+00       2.23139e-01       5.04130e+00
  134  2.68e-04      7.52106e+00       2.58835e-01       5.10032e+00
  135  2.70e-04      7.49191e+00       3.28696e-01       5.10417e+00
  136  2.72e-04      7.57272e+00       2.58227e-01       5.13456e+00
  137  2.74e-04      7.58215e+00       2.86131e-01       5.15014e+00
  138  2.76e-04      7.57598e+00       2.49486e-01       5.13382e+00
  139  2.78e-04      7.53448e+00       2.37343e-01       5.10210e+00
  140  2.80e-04      7.62334e+00       3.12888e-01       5.18652e+00
  141  2.82e-04      7.62775e+00       2.71439e-01       5.17565e+00
  142  2.84e-04      7.63798e+00       2.72481e-01       5.18281e+00
  143  2.86e-04      7.62616e+00       3.08727e-01       5.18702e+00
  144  2.88e-04      7.59652e+00       3.08029e-01       5.16702e+00
  145  2.90e-04      7.63739e+00       2.44101e-01       5.17296e+00
  146  2.92e-04      7.70754e+00       2.35674e-01       5.21692e+00
  147  2.94e-04      7.70348e+00       3.37820e-01       5.24826e+00
  148  2.96e-04      7.72567e+00       2.83651e-01       5.24500e+00
  149  2.98e-04      7.73744e+00       3.05222e-01       5.26003e+00
  150  3.00e-04      7.73268e+00       3.08498e-01       5.25795e+00
  151  3.02e-04      7.74302e+00       3.18529e-01       5.26819e+00
  152  3.04e-04      7.71161e+00       3.40062e-01       5.25443e+00
  153  3.06e-04      7.69785e+00       3.16305e-01       5.23733e+00
  154  3.08e-04      7.74692e+00       2.69175e-01       5.25434e+00
  155  3.10e-04      7.78335e+00       2.94488e-01       5.28706e+00
  156  3.12e-04      7.81053e+00       3.35278e-01       5.31878e+00
  157  3.14e-04      7.81917e+00       3.26295e-01       5.32155e+00
  158  3.16e-04      7.83675e+00       2.88262e-01       5.32058e+00
  159  3.18e-04      7.83586e+00       2.89371e-01       5.32037e+00
  160  3.20e-04      7.78642e+00       3.33079e-01       5.30197e+00
  161  3.22e-04      7.92241e+00       3.62146e-01       5.40232e+00
  162  3.24e-04      7.92873e+00       2.88527e-01       5.38199e+00
  163  3.26e-04      7.96558e+00       3.07978e-01       5.41304e+00
  164  3.28e-04      7.97225e+00       3.25611e-01       5.42337e+00
  165  3.30e-04      7.97553e+00       3.11244e-01       5.42077e+00
  166  3.32e-04      8.03554e+00       3.21949e-01       5.46434e+00
  167  3.34e-04      8.07570e+00       3.16940e-01       5.48945e+00
  168  3.36e-04      7.99504e+00       3.26411e-01       5.43883e+00
  169  3.38e-04      7.98068e+00       3.42364e-01       5.43458e+00
  170  3.40e-04      7.96290e+00       3.07831e-01       5.41121e+00
  171  3.42e-04      8.04444e+00       2.99155e-01       5.46268e+00
  172  3.44e-04      8.07101e+00       3.59513e-01       5.50051e+00
  173  3.46e-04      8.18433e+00       2.52269e-01       5.54031e+00
  174  3.48e-04      8.19923e+00       2.53852e-01       5.55077e+00
  175  3.50e-04      8.16860e+00       3.41223e-01       5.55948e+00
  176  3.52e-04      8.15324e+00       3.30430e-01       5.54563e+00
  177  3.54e-04      8.21297e+00       3.99728e-01       5.60855e+00
  178  3.56e-04      8.22836e+00       3.54710e-01       5.60381e+00
  179  3.58e-04      8.24904e+00       2.92368e-01       5.59682e+00
  180  3.60e-04      8.28206e+00       3.46076e-01       5.63673e+00
  181  3.62e-04      8.28651e+00       3.51666e-01       5.64156e+00
  182  3.64e-04      8.31830e+00       3.24689e-01       5.65377e+00
  183  3.66e-04      8.36315e+00       2.65777e-01       5.66402e+00
  184  3.68e-04      8.41290e+00       3.58224e-01       5.72801e+00
  185  3.70e-04      8.41536e+00       3.90442e-01       5.74039e+00
  186  3.72e-04      8.45265e+00       3.90578e-01       5.76529e+00
  187  3.74e-04      8.46489e+00       4.14390e-01       5.78139e+00
  188  3.76e-04      8.50832e+00       2.91111e-01       5.76925e+00
  189  3.78e-04      8.51614e+00       3.49718e-01       5.79400e+00
  190  3.80e-04      8.52556e+00       3.89321e-01       5.81348e+00
  191  3.82e-04      8.57701e+00       3.56872e-01       5.83697e+00
  192  3.84e-04      8.52645e+00       3.54227e-01       5.80238e+00
  193  3.86e-04      8.48529e+00       3.49341e-01       5.77331e+00
  194  3.88e-04      8.56712e+00       4.20915e-01       5.85172e+00
  195  3.90e-04      8.50070e+00       3.85456e-01       5.79562e+00
  196  3.92e-04      8.48042e+00       3.87359e-01       5.78273e+00
  197  3.94e-04      8.53554e+00       3.71450e-01       5.81418e+00
  198  3.96e-04      8.54551e+00       3.35336e-01       5.80878e+00
  199  3.98e-04      8.60184e+00       3.67451e-01       5.85704e+00
  200  4.00e-04      8.61688e+00       3.80285e-01       5.87135e+00
  201  4.02e-04      8.56874e+00       4.17415e-01       5.85163e+00
  202  4.04e-04      8.56587e+00       4.21546e-01       5.85109e+00
  203  4.06e-04      8.56338e+00       3.77974e-01       5.83491e+00
  204  4.08e-04      8.55136e+00       4.00828e-01       5.83452e+00
  205  4.10e-04      8.54098e+00       3.80138e-01       5.82070e+00
  206  4.12e-04      8.58000e+00       4.54617e-01       5.87154e+00
  207  4.14e-04      8.61731e+00       3.75447e-01       5.87002e+00
  208  4.16e-04      8.71864e+00       3.25207e-01       5.92083e+00
  209  4.18e-04      8.70086e+00       4.47639e-01       5.94978e+00
  210  4.20e-04      8.76990e+00       4.32459e-01       5.99075e+00
  211  4.22e-04      8.78996e+00       3.87754e-01       5.98922e+00
  212  4.24e-04      8.80113e+00       4.36043e-01       6.01277e+00
  213  4.26e-04      8.80264e+00       3.59101e-01       5.98813e+00
  214  4.28e-04      8.86031e+00       3.64963e-01       6.02853e+00
  215  4.30e-04      8.77885e+00       3.79019e-01       5.97890e+00
  216  4.32e-04      8.85242e+00       3.63146e-01       6.02266e+00
  217  4.34e-04      8.85948e+00       3.59362e-01       6.02611e+00
  218  4.36e-04      8.84029e+00       4.24312e-01       6.03496e+00
  219  4.38e-04      8.91452e+00       4.37829e-01       6.08895e+00
  220  4.40e-04      8.93781e+00       4.80377e-01       6.11866e+00
  221  4.42e-04      8.98531e+00       4.68257e-01       6.14629e+00
  222  4.44e-04      8.97212e+00       3.43313e-01       6.09585e+00
  223  4.46e-04      8.99877e+00       3.73090e-01       6.12355e+00
  224  4.48e-04      9.00021e+00       4.27750e-01       6.14272e+00
  225  4.50e-04      9.01705e+00       4.13313e-01       6.14913e+00
  226  4.52e-04      8.99151e+00       3.89020e-01       6.12401e+00
  227  4.54e-04      8.99314e+00       4.51907e-01       6.14606e+00
  228  4.56e-04      9.04180e+00       4.04918e-01       6.16284e+00
  229  4.58e-04      9.09990e+00       4.49562e-01       6.21645e+00
  230  4.60e-04      9.11033e+00       4.34095e-01       6.21825e+00
  231  4.62e-04      9.06376e+00       4.08862e-01       6.17879e+00
  232  4.64e-04      9.07104e+00       4.21615e-01       6.18790e+00
  233  4.66e-04      9.07146e+00       5.17248e-01       6.22006e+00
  234  4.68e-04      9.07331e+00       4.94948e-01       6.21386e+00
  235  4.70e-04      9.09613e+00       4.87207e-01       6.22649e+00
  236  4.72e-04      9.07914e+00       5.20011e-01       6.22610e+00
  237  4.74e-04      9.15168e+00       4.13536e-01       6.23897e+00
  238  4.76e-04      9.20314e+00       4.92992e-01       6.29976e+00
  239  4.78e-04      9.22141e+00       4.16112e-01       6.28631e+00
  240  4.80e-04      9.27522e+00       4.18899e-01       6.32311e+00
  241  4.82e-04      9.25107e+00       4.61616e-01       6.32125e+00
  242  4.84e-04      9.26625e+00       3.70007e-01       6.30084e+00
  243  4.86e-04      9.37688e+00       4.69127e-01       6.40763e+00
  244  4.88e-04      9.41600e+00       5.57083e-01       6.46303e+00
  245  4.90e-04      9.40230e+00       5.05729e-01       6.43677e+00
  246  4.92e-04      9.51239e+00       5.41255e-01       6.52201e+00
  247  4.94e-04      9.62642e+00       4.32517e-01       6.56178e+00
  248  4.96e-04      9.60836e+00       5.01989e-01       6.57290e+00
  249  4.98e-04      9.64441e+00       5.24564e-01       6.60446e+00
  250  5.00e-04      9.68592e+00       4.52771e-01       6.60821e+00
  251  5.02e-04      9.68092e+00       4.23609e-01       6.59515e+00
  252  5.04e-04      9.69345e+00       4.66930e-01       6.61795e+00
  253  5.06e-04      9.78486e+00       5.30875e-01       6.70020e+00
  254  5.08e-04      9.80302e+00       4.62955e-01       6.68967e+00
  255  5.10e-04      9.85187e+00       5.26980e-01       6.74357e+00
  256  5.12e-04      9.90760e+00       4.50002e-01       6.75507e+00
  257  5.14e-04      9.91570e+00       4.10228e-01       6.74721e+00
  258  5.16e-04      9.95333e+00       5.57097e-01       6.82125e+00
  259  5.18e-04      9.93786e+00       4.52728e-01       6.77615e+00
  260  5.20e-04      9.93128e+00       4.82573e-01       6.78171e+00
  261  5.22e-04      9.96038e+00       5.77048e-01       6.83260e+00
  262  5.24e-04      9.96208e+00       5.36211e-01       6.82013e+00
  263  5.26e-04      9.95708e+00       5.22242e-01       6.81213e+00
  264  5.28e-04      1.00208e+01       4.19220e-01       6.82025e+00
  265  5.30e-04      1.00398e+01       4.63437e-01       6.84766e+00
  266  5.32e-04      1.00315e+01       4.50701e-01       6.83787e+00
  267  5.34e-04      1.00768e+01       4.94468e-01       6.88268e+00
  268  5.36e-04      1.00366e+01       5.49375e-01       6.87416e+00
  269  5.38e-04      9.98440e+00       5.41698e-01       6.83683e+00
  270  5.40e-04      1.00846e+01       5.17835e-01       6.89566e+00
  271  5.42e-04      1.01056e+01       5.30278e-01       6.91382e+00
  272  5.44e-04      1.00781e+01       5.03657e-01       6.88660e+00
  273  5.46e-04      1.00753e+01       4.94050e-01       6.88157e+00
  274  5.48e-04      1.00849e+01       5.33456e-01       6.90108e+00
  275  5.50e-04      1.00649e+01       4.58861e-01       6.86289e+00
  276  5.52e-04      1.00725e+01       5.14670e-01       6.88652e+00
  277  5.54e-04      1.00906e+01       6.41545e-01       6.94093e+00
  278  5.56e-04      1.01573e+01       5.07210e-01       6.94058e+00
  279  5.58e-04      1.01672e+01       4.71345e-01       6.93527e+00
  280  5.60e-04      1.01871e+01       4.94676e-01       6.95630e+00
  281  5.62e-04      1.01433e+01       5.18593e-01       6.93508e+00
  282  5.64e-04      1.01009e+01       5.26880e-01       6.90955e+00
  283  5.66e-04      1.00658e+01       4.72205e-01       6.86794e+00
  284  5.68e-04      1.00338e+01       4.83801e-01       6.85043e+00
  285  5.70e-04      1.00886e+01       6.25416e-01       6.93420e+00
