Delta = -1.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.23551e-02       3.36071e-02       3.27724e-02
    2  2.00e-05      6.88417e-02       6.67364e-02       6.81399e-02
    3  3.00e-05      1.09980e-01       1.23520e-01       1.14493e-01
    4  4.00e-05      1.38209e-01       1.33062e-01       1.36494e-01
    5  5.00e-05      1.79564e-01       1.85117e-01       1.81415e-01
    6  6.00e-05      2.07851e-01       2.06179e-01       2.07293e-01
    7  7.00e-05      2.43930e-01       1.73579e-01       2.20480e-01
    8  8.00e-05      2.79107e-01       2.16714e-01       2.58309e-01
    9  9.00e-05      3.11304e-01       2.23689e-01       2.82099e-01
   10  1.00e-04      3.32753e-01       2.16736e-01       2.94081e-01
   11  1.10e-04      3.55102e-01       2.80659e-01       3.30288e-01
   12  1.20e-04      3.87006e-01       2.55646e-01       3.43219e-01
   13  1.30e-04      4.10638e-01       2.65548e-01       3.62275e-01
   14  1.40e-04      4.43244e-01       2.72468e-01       3.86319e-01
   15  1.50e-04      4.65173e-01       3.57268e-01       4.29205e-01
   16  1.60e-04      4.87224e-01       2.91606e-01       4.22018e-01
   17  1.70e-04      5.26166e-01       3.20042e-01       4.57458e-01
   18  1.80e-04      5.57724e-01       2.80878e-01       4.65442e-01
   19  1.90e-04      6.05770e-01       3.27190e-01       5.12910e-01
   20  2.00e-04      6.26065e-01       3.22358e-01       5.24830e-01
   21  2.10e-04      6.14035e-01       2.86310e-01       5.04793e-01
   22  2.20e-04      6.59599e-01       2.80731e-01       5.33310e-01
   23  2.30e-04      6.97208e-01       3.31707e-01       5.75375e-01
   24  2.40e-04      7.26084e-01       2.93145e-01       5.81771e-01
   25  2.50e-04      7.57551e-01       2.60754e-01       5.91952e-01
   26  2.60e-04      8.01978e-01       3.13936e-01       6.39297e-01
   27  2.70e-04      8.06946e-01       3.40810e-01       6.51567e-01
   28  2.80e-04      8.45364e-01       3.50575e-01       6.80435e-01
   29  2.90e-04      8.88567e-01       3.58799e-01       7.11978e-01
   30  3.00e-04      9.45310e-01       3.01243e-01       7.30621e-01
   31  3.10e-04      9.43225e-01       3.06539e-01       7.30997e-01
   32  3.20e-04      9.80445e-01       2.80909e-01       7.47266e-01
