Delta = 6.842e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.42728e-02       4.87113e-02       3.90856e-02
    2  2.00e-05      6.01029e-02       8.23374e-02       6.75144e-02
    3  3.00e-05      1.00264e-01       1.13626e-01       1.04718e-01
    4  4.00e-05      1.33952e-01       1.35165e-01       1.34356e-01
    5  5.00e-05      1.71593e-01       1.34808e-01       1.59332e-01
    6  6.00e-05      2.16130e-01       1.86043e-01       2.06101e-01
    7  7.00e-05      2.67173e-01       1.99251e-01       2.44533e-01
    8  8.00e-05      2.94875e-01       2.19394e-01       2.69715e-01
    9  9.00e-05      3.31353e-01       2.25477e-01       2.96061e-01
   10  1.00e-04      3.93471e-01       2.48940e-01       3.45294e-01
   11  1.10e-04      4.40676e-01       3.07192e-01       3.96181e-01
   12  1.20e-04      4.84693e-01       2.47045e-01       4.05477e-01
   13  1.30e-04      5.26333e-01       2.69255e-01       4.40640e-01
   14  1.40e-04      5.79025e-01       2.38051e-01       4.65367e-01
   15  1.50e-04      5.90854e-01       2.52584e-01       4.78097e-01
   16  1.60e-04      6.31990e-01       2.68208e-01       5.10729e-01
   17  1.70e-04      6.43391e-01       3.56326e-01       5.47703e-01
   18  1.80e-04      6.86562e-01       3.33731e-01       5.68952e-01
   19  1.90e-04      7.25217e-01       3.73397e-01       6.07944e-01
   20  2.00e-04      7.69280e-01       3.12864e-01       6.17141e-01
   21  2.10e-04      7.59175e-01       3.54903e-01       6.24418e-01
   22  2.20e-04      7.95447e-01       3.18361e-01       6.36419e-01
   23  2.30e-04      8.31067e-01       3.37909e-01       6.66681e-01
   24  2.40e-04      8.54199e-01       3.10666e-01       6.73021e-01
   25  2.50e-04      9.04722e-01       3.20267e-01       7.09903e-01
   26  2.60e-04      9.26549e-01       3.34566e-01       7.29221e-01
   27  2.70e-04      9.49973e-01       3.54936e-01       7.51628e-01
   28  2.80e-04      9.86275e-01       3.24749e-01       7.65767e-01
   29  2.90e-04      9.93738e-01       2.76782e-01       7.54753e-01
   30  3.00e-04      1.03754e+00       3.23663e-01       7.99579e-01
   31  3.10e-04      1.03415e+00       2.41410e-01       7.69903e-01
   32  3.20e-04      1.14275e+00       2.61706e-01       8.49065e-01
   33  3.30e-04      1.14735e+00       3.07174e-01       8.67292e-01
   34  3.40e-04      1.15806e+00       3.01196e-01       8.72439e-01
   35  3.50e-04      1.21214e+00       3.08285e-01       9.10855e-01
   36  3.60e-04      1.23363e+00       3.40588e-01       9.35948e-01
   37  3.70e-04      1.27984e+00       2.61464e-01       9.40385e-01
   38  3.80e-04      1.31712e+00       2.70510e-01       9.68249e-01
   39  3.90e-04      1.33980e+00       2.82431e-01       9.87344e-01
   40  4.00e-04      1.36861e+00       2.77294e-01       1.00484e+00
   41  4.10e-04      1.38442e+00       3.23391e-01       1.03074e+00
   42  4.20e-04      1.34489e+00       2.97062e-01       9.95611e-01
   43  4.30e-04      1.37740e+00       3.04209e-01       1.01967e+00
   44  4.40e-04      1.42892e+00       2.79189e-01       1.04568e+00
   45  4.50e-04      1.44233e+00       2.78084e-01       1.05425e+00
   46  4.60e-04      1.47126e+00       2.61939e-01       1.06815e+00
   47  4.70e-04      1.50254e+00       2.38043e-01       1.08104e+00
   48  4.80e-04      1.55553e+00       2.39527e-01       1.11686e+00
   49  4.90e-04      1.56032e+00       2.98320e-01       1.13966e+00
   50  5.00e-04      1.60039e+00       2.07655e-01       1.13615e+00
   51  5.10e-04      1.61016e+00       2.83928e-01       1.16808e+00
   52  5.20e-04      1.66566e+00       2.50509e-01       1.19395e+00
   53  5.30e-04      1.69552e+00       2.93181e-01       1.22808e+00
   54  5.40e-04      1.68424e+00       2.95003e-01       1.22116e+00
   55  5.50e-04      1.68094e+00       2.86461e-01       1.21612e+00
   56  5.60e-04      1.77294e+00       2.98019e-01       1.28130e+00
   57  5.70e-04      1.82110e+00       2.98097e-01       1.31343e+00
   58  5.80e-04      1.89521e+00       2.91376e-01       1.36060e+00
   59  5.90e-04      1.91322e+00       2.82906e-01       1.36978e+00
   60  6.00e-04      1.93972e+00       3.56551e-01       1.41199e+00
   61  6.10e-04      1.92437e+00       2.84706e-01       1.37781e+00
   62  6.20e-04      1.94244e+00       3.70394e-01       1.41842e+00
   63  6.30e-04      2.01874e+00       3.96887e-01       1.47812e+00
   64  6.40e-04      2.10085e+00       3.15200e-01       1.50564e+00
   65  6.50e-04      2.09164e+00       3.06025e-01       1.49644e+00
   66  6.60e-04      2.21942e+00       3.02457e-01       1.58043e+00
   67  6.70e-04      2.23535e+00       2.84812e-01       1.58517e+00
   68  6.80e-04      2.24642e+00       3.14736e-01       1.60252e+00
   69  6.90e-04      2.28418e+00       3.11935e-01       1.62676e+00
   70  7.00e-04      2.33567e+00       2.68982e-01       1.64678e+00
   71  7.10e-04      2.40674e+00       2.70436e-01       1.69464e+00
   72  7.20e-04      2.45900e+00       2.89901e-01       1.73597e+00
   73  7.30e-04      2.41796e+00       2.86274e-01       1.70740e+00
   74  7.40e-04      2.49920e+00       2.63854e-01       1.75409e+00
   75  7.50e-04      2.51162e+00       3.19132e-01       1.78079e+00
   76  7.60e-04      2.58126e+00       2.65769e-01       1.80943e+00
   77  7.70e-04      2.61506e+00       3.09976e-01       1.84670e+00
   78  7.80e-04      2.68691e+00       2.78995e-01       1.88427e+00
   79  7.90e-04      2.70944e+00       3.42893e-01       1.92059e+00
   80  8.00e-04      2.76910e+00       3.34646e-01       1.95761e+00
   81  8.10e-04      2.83167e+00       3.06691e-01       1.99001e+00
   82  8.20e-04      2.83644e+00       2.97900e-01       1.99026e+00
   83  8.30e-04      2.93322e+00       3.75770e-01       2.08074e+00
   84  8.40e-04      3.02654e+00       2.76870e-01       2.10998e+00
   85  8.50e-04      3.04192e+00       2.81859e-01       2.12190e+00
   86  8.60e-04      3.09335e+00       2.92233e-01       2.15964e+00
   87  8.70e-04      3.13431e+00       2.50902e-01       2.17317e+00
   88  8.80e-04      3.16676e+00       3.32449e-01       2.22199e+00
   89  8.90e-04      3.17907e+00       3.20019e-01       2.22606e+00
   90  9.00e-04      3.28589e+00       2.47464e-01       2.27308e+00
   91  9.10e-04      3.32977e+00       3.64298e-01       2.34128e+00
   92  9.20e-04      3.37008e+00       2.85916e-01       2.34203e+00
   93  9.30e-04      3.44134e+00       2.88119e-01       2.39027e+00
   94  9.40e-04      3.47425e+00       3.22294e-01       2.42360e+00
   95  9.50e-04      3.55440e+00       3.45896e-01       2.48490e+00
   96  9.60e-04      3.60494e+00       2.87767e-01       2.49922e+00
   97  9.70e-04      3.68843e+00       3.47411e-01       2.57476e+00
   98  9.80e-04      3.77336e+00       3.96170e-01       2.64763e+00
   99  9.90e-04      3.72743e+00       3.20173e-01       2.59168e+00
  100  1.00e-03      3.78410e+00       3.07449e-01       2.62522e+00
  101  1.01e-03      3.79683e+00       3.52852e-01       2.64884e+00
  102  1.02e-03      3.94307e+00       3.26198e-01       2.73745e+00
  103  1.03e-03      3.95835e+00       2.93057e-01       2.73659e+00
  104  1.04e-03      4.06818e+00       3.07281e-01       2.81455e+00
  105  1.05e-03      4.11741e+00       3.06436e-01       2.84708e+00
  106  1.06e-03      4.21583e+00       2.66213e-01       2.89929e+00
  107  1.07e-03      4.30379e+00       3.26769e-01       2.97812e+00
  108  1.08e-03      4.34753e+00       2.88377e-01       2.99448e+00
  109  1.09e-03      4.32707e+00       3.06201e-01       2.98678e+00
  110  1.10e-03      4.38126e+00       2.86490e-01       3.01634e+00
  111  1.11e-03      4.45881e+00       2.89216e-01       3.06895e+00
  112  1.12e-03      4.51708e+00       3.31658e-01       3.12194e+00
  113  1.13e-03      4.52976e+00       2.94963e-01       3.11816e+00
  114  1.14e-03      4.61190e+00       2.59854e-01       3.16122e+00
  115  1.15e-03      4.65021e+00       2.56401e-01       3.18561e+00
  116  1.16e-03      4.67377e+00       2.47980e-01       3.19851e+00
  117  1.17e-03      4.69920e+00       2.65934e-01       3.22144e+00
  118  1.18e-03      4.80202e+00       2.80702e-01       3.29492e+00
  119  1.19e-03      4.79607e+00       2.25221e-01       3.27246e+00
  120  1.20e-03      4.82013e+00       2.76720e-01       3.30566e+00
  121  1.21e-03      4.82636e+00       2.77611e-01       3.31011e+00
  122  1.22e-03      4.93824e+00       3.19091e-01       3.39853e+00
  123  1.23e-03      4.96307e+00       2.77495e-01       3.40121e+00
  124  1.24e-03      5.00112e+00       2.30391e-01       3.41087e+00
  125  1.25e-03      4.96871e+00       2.55931e-01       3.39778e+00
  126  1.26e-03      4.99463e+00       2.52991e-01       3.41409e+00
  127  1.27e-03      4.98944e+00       2.45654e-01       3.40818e+00
  128  1.28e-03      5.08561e+00       2.96835e-01       3.48935e+00
  129  1.29e-03      5.02439e+00       2.38555e-01       3.42911e+00
  130  1.30e-03      5.06446e+00       2.87289e-01       3.47207e+00
  131  1.31e-03      5.09917e+00       2.77373e-01       3.49191e+00
  132  1.32e-03      5.14512e+00       2.35671e-01       3.50864e+00
  133  1.33e-03      5.14712e+00       2.62219e-01       3.51882e+00
  134  1.34e-03      5.19148e+00       3.27686e-01       3.57022e+00
  135  1.35e-03      5.24196e+00       2.70406e-01       3.58478e+00
  136  1.36e-03      5.27869e+00       2.90314e-01       3.61590e+00
  137  1.37e-03      5.26053e+00       2.75703e-01       3.59892e+00
