Delta = 1.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.43989e-02       5.35143e-02       4.07707e-02
    2  2.00e-05      6.70211e-02       7.99521e-02       7.13314e-02
    3  3.00e-05      1.15296e-01       7.93704e-02       1.03321e-01
    4  4.00e-05      1.30324e-01       1.32161e-01       1.30936e-01
    5  5.00e-05      1.58985e-01       1.56098e-01       1.58023e-01
    6  6.00e-05      1.73862e-01       1.92254e-01       1.79993e-01
    7  7.00e-05      1.83227e-01       1.29869e-01       1.65441e-01
    8  8.00e-05      1.91809e-01       2.20421e-01       2.01346e-01
    9  9.00e-05      2.03183e-01       2.22652e-01       2.09673e-01
   10  1.00e-04      2.34867e-01       2.31571e-01       2.33768e-01
   11  1.10e-04      2.50518e-01       1.86105e-01       2.29047e-01
   12  1.20e-04      2.88495e-01       2.35907e-01       2.70966e-01
   13  1.30e-04      3.37091e-01       2.71768e-01       3.15317e-01
   14  1.40e-04      3.87485e-01       2.72107e-01       3.49026e-01
   15  1.50e-04      4.10989e-01       3.12435e-01       3.78138e-01
   16  1.60e-04      4.53914e-01       3.14349e-01       4.07393e-01
   17  1.70e-04      4.76572e-01       2.99067e-01       4.17404e-01
   18  1.80e-04      4.82116e-01       2.79678e-01       4.14637e-01
   19  1.90e-04      5.03861e-01       3.23719e-01       4.43814e-01
   20  2.00e-04      5.02245e-01       3.19395e-01       4.41295e-01
   21  2.10e-04      5.15114e-01       3.09099e-01       4.46443e-01
   22  2.20e-04      5.41828e-01       2.73213e-01       4.52290e-01
   23  2.30e-04      5.87714e-01       3.25947e-01       5.00458e-01
   24  2.40e-04      6.30858e-01       2.90890e-01       5.17535e-01
   25  2.50e-04      6.46933e-01       4.20125e-01       5.71330e-01
   26  2.60e-04      6.91474e-01       3.16100e-01       5.66350e-01
   27  2.70e-04      7.03607e-01       2.52513e-01       5.53243e-01
   28  2.80e-04      7.32016e-01       3.04386e-01       5.89473e-01
   29  2.90e-04      7.58968e-01       3.39920e-01       6.19285e-01
   30  3.00e-04      8.11286e-01       2.87401e-01       6.36657e-01
   31  3.10e-04      8.19707e-01       2.89462e-01       6.42959e-01
   32  3.20e-04      8.79753e-01       2.79417e-01       6.79641e-01
   33  3.30e-04      9.07802e-01       2.94202e-01       7.03269e-01
   34  3.40e-04      9.31365e-01       2.54236e-01       7.05655e-01
   35  3.50e-04      9.69871e-01       3.14680e-01       7.51474e-01
   36  3.60e-04      1.02061e+00       2.53531e-01       7.64915e-01
   37  3.70e-04      1.04503e+00       3.08283e-01       7.99451e-01
   38  3.80e-04      1.07225e+00       3.10772e-01       8.18427e-01
   39  3.90e-04      1.09661e+00       3.29292e-01       8.40838e-01
   40  4.00e-04      1.14676e+00       3.59024e-01       8.84183e-01
   41  4.10e-04      1.19285e+00       2.74712e-01       8.86806e-01
   42  4.20e-04      1.17384e+00       2.70326e-01       8.72667e-01
   43  4.30e-04      1.20692e+00       2.95865e-01       9.03232e-01
   44  4.40e-04      1.27648e+00       2.96224e-01       9.49726e-01
   45  4.50e-04      1.30309e+00       2.66766e-01       9.57650e-01
   46  4.60e-04      1.31938e+00       2.67838e-01       9.68868e-01
   47  4.70e-04      1.34645e+00       2.73891e-01       9.88932e-01
   48  4.80e-04      1.40639e+00       2.69599e-01       1.02746e+00
   49  4.90e-04      1.47048e+00       3.29748e-01       1.09024e+00
   50  5.00e-04      1.48408e+00       3.20608e-01       1.09625e+00
   51  5.10e-04      1.56865e+00       2.91709e-01       1.14300e+00
   52  5.20e-04      1.63173e+00       3.26171e-01       1.19654e+00
   53  5.30e-04      1.63856e+00       3.00629e-01       1.19259e+00
   54  5.40e-04      1.71641e+00       2.94446e-01       1.24242e+00
   55  5.50e-04      1.70788e+00       3.41641e-01       1.25247e+00
   56  5.60e-04      1.76856e+00       2.80485e-01       1.27254e+00
   57  5.70e-04      1.77924e+00       3.30051e-01       1.29618e+00
   58  5.80e-04      1.84822e+00       3.12844e-01       1.33643e+00
   59  5.90e-04      1.93390e+00       3.18014e-01       1.39527e+00
   60  6.00e-04      1.99497e+00       2.98614e-01       1.42952e+00
   61  6.10e-04      2.05996e+00       3.06805e-01       1.47558e+00
   62  6.20e-04      2.12955e+00       3.37274e-01       1.53212e+00
   63  6.30e-04      2.11995e+00       3.29078e-01       1.52299e+00
   64  6.40e-04      2.19774e+00       3.35032e-01       1.57684e+00
   65  6.50e-04      2.28466e+00       2.76521e-01       1.61528e+00
   66  6.60e-04      2.31207e+00       3.03176e-01       1.64244e+00
   67  6.70e-04      2.28483e+00       2.20590e-01       1.59675e+00
   68  6.80e-04      2.29631e+00       2.93990e-01       1.62887e+00
   69  6.90e-04      2.29088e+00       2.63283e-01       1.61501e+00
   70  7.00e-04      2.31262e+00       2.93949e-01       1.63973e+00
   71  7.10e-04      2.35945e+00       2.57675e-01       1.65886e+00
   72  7.20e-04      2.34889e+00       3.02413e-01       1.66673e+00
   73  7.30e-04      2.38917e+00       2.75648e-01       1.68466e+00
   74  7.40e-04      2.45879e+00       2.61684e-01       1.72642e+00
   75  7.50e-04      2.42353e+00       2.97236e-01       1.71477e+00
   76  7.60e-04      2.48062e+00       2.35867e-01       1.73237e+00
   77  7.70e-04      2.47257e+00       2.81494e-01       1.74221e+00
   78  7.80e-04      2.55907e+00       3.05746e-01       1.80796e+00
   79  7.90e-04      2.63114e+00       3.26318e-01       1.86287e+00
   80  8.00e-04      2.64023e+00       2.91173e-01       1.85721e+00
   81  8.10e-04      2.65868e+00       2.50537e-01       1.85596e+00
   82  8.20e-04      2.71574e+00       2.37146e-01       1.88954e+00
   83  8.30e-04      2.69034e+00       2.50832e-01       1.87717e+00
   84  8.40e-04      2.71533e+00       3.16475e-01       1.91571e+00
   85  8.50e-04      2.76733e+00       2.98246e-01       1.94431e+00
   86  8.60e-04      2.79858e+00       3.09120e-01       1.96876e+00
   87  8.70e-04      2.82163e+00       2.81960e-01       1.97507e+00
   88  8.80e-04      2.87415e+00       3.19135e-01       2.02248e+00
   89  8.90e-04      2.87439e+00       3.19996e-01       2.02293e+00
   90  9.00e-04      2.89932e+00       3.71728e-01       2.05679e+00
   91  9.10e-04      2.88828e+00       3.55199e-01       2.04392e+00
   92  9.20e-04      2.97840e+00       2.61449e-01       2.07275e+00
   93  9.30e-04      2.99448e+00       2.76065e-01       2.08834e+00
   94  9.40e-04      3.00836e+00       2.97086e-01       2.10460e+00
   95  9.50e-04      3.01185e+00       2.48744e-01       2.09081e+00
   96  9.60e-04      3.05660e+00       2.89964e-01       2.13439e+00
   97  9.70e-04      3.10774e+00       3.26222e-01       2.18057e+00
   98  9.80e-04      3.15870e+00       3.05078e-01       2.20749e+00
   99  9.90e-04      3.14974e+00       2.53448e-01       2.18431e+00
  100  1.00e-03      3.10374e+00       2.99893e-01       2.16913e+00
  101  1.01e-03      3.11951e+00       2.38525e-01       2.15918e+00
  102  1.02e-03      3.18744e+00       2.71175e-01       2.21535e+00
  103  1.03e-03      3.23934e+00       2.54496e-01       2.24439e+00
  104  1.04e-03      3.29356e+00       2.74587e-01       2.28724e+00
  105  1.05e-03      3.33146e+00       3.11930e-01       2.32495e+00
  106  1.06e-03      3.36230e+00       2.99578e-01       2.34139e+00
  107  1.07e-03      3.40962e+00       3.14344e-01       2.37786e+00
  108  1.08e-03      3.47436e+00       2.96406e-01       2.41504e+00
  109  1.09e-03      3.48421e+00       3.13376e-01       2.42726e+00
  110  1.10e-03      3.55125e+00       3.00409e-01       2.46764e+00
  111  1.11e-03      3.62704e+00       3.25545e-01       2.52654e+00
  112  1.12e-03      3.72834e+00       2.78460e-01       2.57838e+00
  113  1.13e-03      3.82684e+00       2.23981e-01       2.62589e+00
  114  1.14e-03      3.89946e+00       2.78101e-01       2.69234e+00
  115  1.15e-03      3.88226e+00       2.71555e-01       2.67869e+00
  116  1.16e-03      3.90041e+00       2.85916e-01       2.69558e+00
  117  1.17e-03      3.95072e+00       3.14216e-01       2.73855e+00
  118  1.18e-03      4.02730e+00       2.97863e-01       2.78416e+00
  119  1.19e-03      4.02752e+00       2.95826e-01       2.78362e+00
  120  1.20e-03      4.09571e+00       3.17390e-01       2.83627e+00
  121  1.21e-03      4.14166e+00       3.30239e-01       2.87119e+00
  122  1.22e-03      4.16400e+00       3.14191e-01       2.88073e+00
  123  1.23e-03      4.20268e+00       3.02325e-01       2.90256e+00
  124  1.24e-03      4.31599e+00       2.94256e-01       2.97541e+00
  125  1.25e-03      4.36331e+00       3.22323e-01       3.01631e+00
  126  1.26e-03      4.39048e+00       3.14669e-01       3.03187e+00
  127  1.27e-03      4.46687e+00       2.96245e-01       3.07666e+00
  128  1.28e-03      4.47311e+00       2.42793e-01       3.06300e+00
  129  1.29e-03      4.52165e+00       2.93807e-01       3.11237e+00
  130  1.30e-03      4.61956e+00       2.58970e-01       3.16603e+00
  131  1.31e-03      4.70613e+00       2.62020e-01       3.22476e+00
  132  1.32e-03      4.76595e+00       3.09889e-01       3.28060e+00
  133  1.33e-03      4.76949e+00       2.17122e-01       3.25203e+00
  134  1.34e-03      4.82333e+00       2.60046e-01       3.30223e+00
  135  1.35e-03      4.82809e+00       2.49171e-01       3.30178e+00
  136  1.36e-03      4.89418e+00       2.21865e-01       3.33674e+00
  137  1.37e-03      4.92547e+00       2.35323e-01       3.36209e+00
  138  1.38e-03      5.05743e+00       2.67458e-01       3.46077e+00
  139  1.39e-03      5.10676e+00       2.63918e-01       3.49248e+00
  140  1.40e-03      5.07603e+00       3.20205e-01       3.49075e+00
  141  1.41e-03      5.21698e+00       3.43125e-01       3.59236e+00
  142  1.42e-03      5.21352e+00       2.87988e-01       3.57167e+00
  143  1.43e-03      5.16919e+00       2.11017e-01       3.51646e+00
  144  1.44e-03      5.21338e+00       2.67049e-01       3.56460e+00
  145  1.45e-03      5.27995e+00       2.30351e-01       3.59675e+00
  146  1.46e-03      5.29862e+00       2.60267e-01       3.61917e+00
  147  1.47e-03      5.32720e+00       3.16445e-01       3.65695e+00
  148  1.48e-03      5.35701e+00       3.23986e-01       3.67934e+00
  149  1.49e-03      5.31050e+00       2.39061e-01       3.62002e+00
  150  1.50e-03      5.43491e+00       2.32828e-01       3.70088e+00
  151  1.51e-03      5.45977e+00       2.65278e-01       3.72827e+00
  152  1.52e-03      5.62833e+00       2.60264e-01       3.83898e+00
  153  1.53e-03      5.63500e+00       3.31992e-01       3.86733e+00
  154  1.54e-03      5.73310e+00       3.01333e-01       3.92251e+00
  155  1.55e-03      5.79679e+00       2.60984e-01       3.95152e+00
  156  1.56e-03      5.84004e+00       3.02669e-01       3.99425e+00
  157  1.57e-03      5.85619e+00       3.25433e-01       4.01260e+00
  158  1.58e-03      5.82023e+00       2.88989e-01       3.97648e+00
  159  1.59e-03      5.92552e+00       3.59757e-01       4.07026e+00
  160  1.60e-03      5.92746e+00       3.60227e-01       4.07171e+00
  161  1.61e-03      5.98140e+00       2.80097e-01       4.08097e+00
  162  1.62e-03      5.99532e+00       2.80827e-01       4.09049e+00
  163  1.63e-03      6.12208e+00       3.00354e-01       4.18151e+00
  164  1.64e-03      6.10735e+00       2.74089e-01       4.16293e+00
  165  1.65e-03      6.04068e+00       3.41987e-01       4.14111e+00
  166  1.66e-03      6.06540e+00       2.88958e-01       4.13992e+00
  167  1.67e-03      6.22551e+00       2.62233e-01       4.23775e+00
  168  1.68e-03      6.27405e+00       2.44000e-01       4.26403e+00
  169  1.69e-03      6.25476e+00       2.68457e-01       4.25933e+00
  170  1.70e-03      6.43525e+00       2.88158e-01       4.38622e+00
  171  1.71e-03      6.38905e+00       3.02346e-01       4.36015e+00
  172  1.72e-03      6.50788e+00       2.73282e-01       4.42968e+00
  173  1.73e-03      6.58857e+00       3.05109e-01       4.49409e+00
  174  1.74e-03      6.58651e+00       3.27159e-01       4.50006e+00
  175  1.75e-03      6.60684e+00       2.98184e-01       4.50395e+00
  176  1.76e-03      6.69479e+00       3.32886e-01       4.57416e+00
  177  1.77e-03      6.75983e+00       2.49859e-01       4.58984e+00
  178  1.78e-03      6.74777e+00       2.65688e-01       4.58708e+00
  179  1.79e-03      6.77809e+00       2.83059e-01       4.61308e+00
  180  1.80e-03      6.68492e+00       2.49128e-01       4.53965e+00
  181  1.81e-03      6.78605e+00       2.50430e-01       4.60751e+00
  182  1.82e-03      6.88721e+00       2.53239e-01       4.67589e+00
  183  1.83e-03      7.00206e+00       2.40260e-01       4.74813e+00
  184  1.84e-03      7.09279e+00       2.70321e-01       4.81864e+00
  185  1.85e-03      7.17223e+00       2.51384e-01       4.86528e+00
  186  1.86e-03      7.26646e+00       2.49697e-01       4.92754e+00
  187  1.87e-03      7.38016e+00       2.70374e-01       5.01023e+00
  188  1.88e-03      7.36153e+00       2.72215e-01       4.99842e+00
  189  1.89e-03      7.42677e+00       2.61615e-01       5.03838e+00
  190  1.90e-03      7.51438e+00       3.25124e-01       5.11796e+00
  191  1.91e-03      7.57259e+00       3.32677e-01       5.15928e+00
  192  1.92e-03      7.57992e+00       2.83835e-01       5.14789e+00
  193  1.93e-03      7.55213e+00       3.38892e-01       5.14771e+00
  194  1.94e-03      7.57242e+00       2.59261e-01       5.13470e+00
  195  1.95e-03      7.62128e+00       2.60724e-01       5.16776e+00
  196  1.96e-03      7.64303e+00       2.92034e-01       5.19270e+00
  197  1.97e-03      7.72456e+00       3.22539e-01       5.25722e+00
  198  1.98e-03      7.72159e+00       3.21680e-01       5.25495e+00
  199  1.99e-03      7.87169e+00       2.81284e-01       5.34156e+00
  200  2.00e-03      7.86089e+00       3.11353e-01       5.34438e+00
  201  2.01e-03      7.91679e+00       2.62481e-01       5.36536e+00
  202  2.02e-03      7.98318e+00       3.26047e-01       5.43080e+00
  203  2.03e-03      8.02798e+00       2.98818e-01       5.45159e+00
  204  2.04e-03      8.04305e+00       2.46404e-01       5.44417e+00
  205  2.05e-03      8.12878e+00       3.12705e-01       5.52342e+00
  206  2.06e-03      8.18173e+00       2.47731e-01       5.53706e+00
  207  2.07e-03      8.18099e+00       2.41715e-01       5.53456e+00
  208  2.08e-03      8.22207e+00       3.50084e-01       5.59808e+00
  209  2.09e-03      8.32948e+00       3.19211e-01       5.65939e+00
  210  2.10e-03      8.36991e+00       2.37329e-01       5.65905e+00
  211  2.11e-03      8.24075e+00       2.73331e-01       5.58494e+00
  212  2.12e-03      8.31171e+00       3.28291e-01       5.65057e+00
  213  2.13e-03      8.31455e+00       3.10344e-01       5.64648e+00
  214  2.14e-03      8.34345e+00       2.89078e-01       5.65866e+00
  215  2.15e-03      8.47147e+00       2.99116e-01       5.74735e+00
  216  2.16e-03      8.47800e+00       2.77871e-01       5.74462e+00
  217  2.17e-03      8.51115e+00       3.08126e-01       5.77681e+00
  218  2.18e-03      8.50487e+00       3.46420e-01       5.78539e+00
  219  2.19e-03      8.50146e+00       3.58073e-01       5.78700e+00
  220  2.20e-03      8.39039e+00       2.69562e-01       5.68345e+00
  221  2.21e-03      8.40164e+00       2.66260e-01       5.68985e+00
  222  2.22e-03      8.45078e+00       3.07198e-01       5.73625e+00
  223  2.23e-03      8.36693e+00       3.65775e-01       5.69988e+00
  224  2.24e-03      8.63887e+00       3.37736e-01       5.87182e+00
  225  2.25e-03      8.66373e+00       2.58717e-01       5.86206e+00
  226  2.26e-03      8.72431e+00       2.89917e-01       5.91285e+00
  227  2.27e-03      8.76651e+00       3.12849e-01       5.94863e+00
  228  2.28e-03      8.87994e+00       3.25500e-01       6.02846e+00
  229  2.29e-03      8.80830e+00       2.96963e-01       5.97119e+00
  230  2.30e-03      8.85949e+00       2.97280e-01       6.00542e+00
  231  2.31e-03      8.88279e+00       3.05510e-01       6.02370e+00
  232  2.32e-03      8.98598e+00       2.94430e-01       6.08880e+00
  233  2.33e-03      9.09500e+00       3.39739e-01       6.17658e+00
  234  2.34e-03      9.08899e+00       2.64036e-01       6.14734e+00
  235  2.35e-03      9.23905e+00       2.96628e-01       6.25824e+00
  236  2.36e-03      9.29744e+00       2.57936e-01       6.28427e+00
  237  2.37e-03      9.47791e+00       3.03087e-01       6.41964e+00
  238  2.38e-03      9.40465e+00       2.78551e-01       6.36262e+00
  239  2.39e-03      9.57432e+00       2.98696e-01       6.48245e+00
  240  2.40e-03      9.66853e+00       2.40543e-01       6.52587e+00
  241  2.41e-03      9.67766e+00       3.48942e-01       6.56809e+00
  242  2.42e-03      9.75291e+00       2.78873e-01       6.59490e+00
  243  2.43e-03      9.80735e+00       2.66437e-01       6.62705e+00
  244  2.44e-03      9.71740e+00       3.22516e-01       6.58577e+00
  245  2.45e-03      9.58397e+00       2.53435e-01       6.47379e+00
  246  2.46e-03      9.65832e+00       3.43599e-01       6.55341e+00
  247  2.47e-03      9.74584e+00       2.56286e-01       6.58266e+00
  248  2.48e-03      9.83301e+00       3.59890e-01       6.67530e+00
  249  2.49e-03      9.77720e+00       3.46581e-01       6.63366e+00
  250  2.50e-03      9.81008e+00       3.28198e-01       6.64945e+00
  251  2.51e-03      9.87286e+00       3.07666e-01       6.68446e+00
  252  2.52e-03      9.88788e+00       3.29502e-01       6.70176e+00
  253  2.53e-03      1.01370e+01       2.87535e-01       6.85384e+00
  254  2.54e-03      9.89196e+00       2.96490e-01       6.69347e+00
  255  2.55e-03      1.00807e+01       2.71790e-01       6.81107e+00
  256  2.56e-03      1.02138e+01       3.20620e-01       6.91610e+00
  257  2.57e-03      1.02658e+01       3.14789e-01       6.94879e+00
  258  2.58e-03      1.04319e+01       2.88476e-01       7.05074e+00
  259  2.59e-03      1.04534e+01       3.17259e-01       7.07470e+00
  260  2.60e-03      1.04324e+01       2.91064e-01       7.05194e+00
  261  2.61e-03      1.05006e+01       3.19690e-01       7.10697e+00
  262  2.62e-03      1.06307e+01       3.56303e-01       7.20590e+00
  263  2.63e-03      1.04914e+01       3.56461e-01       7.11310e+00
  264  2.64e-03      1.06274e+01       3.85513e-01       7.21343e+00
  265  2.65e-03      1.06615e+01       3.31089e-01       7.21806e+00
  266  2.66e-03      1.08368e+01       2.78014e-01       7.31719e+00
  267  2.67e-03      1.08578e+01       3.28221e-01       7.34793e+00
  268  2.68e-03      1.09211e+01       3.71128e-01       7.40446e+00
  269  2.69e-03      1.10040e+01       3.71778e-01       7.45992e+00
  270  2.70e-03      1.11151e+01       3.58239e-01       7.52946e+00
  271  2.71e-03      1.12170e+01       3.20256e-01       7.58476e+00
  272  2.72e-03      1.12776e+01       3.76787e-01       7.64402e+00
  273  2.73e-03      1.13583e+01       2.68294e-01       7.66161e+00
  274  2.74e-03      1.13605e+01       2.38938e-01       7.65333e+00
  275  2.75e-03      1.14169e+01       2.90531e-01       7.70812e+00
  276  2.76e-03      1.14400e+01       2.47225e-01       7.70909e+00
  277  2.77e-03      1.14882e+01       2.43265e-01       7.73986e+00
  278  2.78e-03      1.15288e+01       2.93751e-01       7.78381e+00
  279  2.79e-03      1.15195e+01       3.16957e-01       7.78529e+00
  280  2.80e-03      1.16102e+01       3.08223e-01       7.84289e+00
  281  2.81e-03      1.16522e+01       3.65588e-01       7.89002e+00
  282  2.82e-03      1.18214e+01       3.04796e-01       7.98254e+00
  283  2.83e-03      1.17392e+01       2.61714e-01       7.91339e+00
  284  2.84e-03      1.19093e+01       2.94255e-01       8.03761e+00
  285  2.85e-03      1.18856e+01       2.60985e-01       8.01076e+00
  286  2.86e-03      1.20326e+01       2.80288e-01       8.11513e+00
  287  2.87e-03      1.20993e+01       2.86905e-01       8.16181e+00
  288  2.88e-03      1.22615e+01       3.24968e-01       8.28266e+00
  289  2.89e-03      1.23893e+01       2.92747e-01       8.35710e+00
  290  2.90e-03      1.22947e+01       3.36647e-01       8.30869e+00
  291  2.91e-03      1.24641e+01       2.88650e-01       8.40559e+00
  292  2.92e-03      1.22538e+01       3.00922e-01       8.26950e+00
  293  2.93e-03      1.24128e+01       2.80631e-01       8.36876e+00
  294  2.94e-03      1.23338e+01       2.63723e-01       8.31045e+00
  295  2.95e-03      1.24536e+01       2.71948e-01       8.39303e+00
  296  2.96e-03      1.25284e+01       2.34781e-01       8.43054e+00
  297  2.97e-03      1.27532e+01       3.46906e-01       8.61779e+00
  298  2.98e-03      1.26269e+01       3.18424e-01       8.52406e+00
  299  2.99e-03      1.28830e+01       2.61747e-01       8.67590e+00
  300  3.00e-03      1.27762e+01       2.92562e-01       8.61498e+00
  301  3.01e-03      1.27831e+01       2.65579e-01       8.61056e+00
  302  3.02e-03      1.28092e+01       3.23384e-01       8.64727e+00
  303  3.03e-03      1.27910e+01       3.03763e-01       8.62856e+00
  304  3.04e-03      1.30099e+01       3.60121e-01       8.79331e+00
  305  3.05e-03      1.28766e+01       2.42732e-01       8.66529e+00
  306  3.06e-03      1.29734e+01       3.05657e-01       8.75079e+00
  307  3.07e-03      1.30316e+01       3.26136e-01       8.79645e+00
  308  3.08e-03      1.30344e+01       3.84139e-01       8.81763e+00
  309  3.09e-03      1.31220e+01       3.42137e-01       8.86203e+00
  310  3.10e-03      1.30388e+01       2.93719e-01       8.79045e+00
  311  3.11e-03      1.31520e+01       2.64522e-01       8.85616e+00
  312  3.12e-03      1.31759e+01       3.22949e-01       8.89158e+00
  313  3.13e-03      1.33192e+01       3.08878e-01       8.98240e+00
  314  3.14e-03      1.32832e+01       3.62533e-01       8.97630e+00
  315  3.15e-03      1.35788e+01       3.51569e-01       9.16974e+00
  316  3.16e-03      1.35544e+01       3.15264e-01       9.14137e+00
  317  3.17e-03      1.35581e+01       2.87897e-01       9.13470e+00
  318  3.18e-03      1.35025e+01       3.13747e-01       9.10627e+00
  319  3.19e-03      1.36655e+01       3.02366e-01       9.21112e+00
  320  3.20e-03      1.37439e+01       2.46279e-01       9.24470e+00
  321  3.21e-03      1.36206e+01       2.72876e-01       9.17137e+00
  322  3.22e-03      1.38731e+01       2.86912e-01       9.34435e+00
  323  3.23e-03      1.37765e+01       2.55746e-01       9.26955e+00
  324  3.24e-03      1.38837e+01       3.36048e-01       9.36784e+00
  325  3.25e-03      1.37163e+01       3.66666e-01       9.26645e+00
