Delta = -2.632e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-05      3.39032e-02       4.76481e-02       3.84848e-02
    2  2.00e-05      7.32627e-02       9.85036e-02       8.16763e-02
    3  3.00e-05      1.11689e-01       1.48742e-01       1.24040e-01
    4  4.00e-05      1.46365e-01       1.49304e-01       1.47345e-01
    5  5.00e-05      1.87962e-01       1.77101e-01       1.84342e-01
    6  6.00e-05      2.18852e-01       2.14579e-01       2.17428e-01
    7  7.00e-05      2.39296e-01       2.06579e-01       2.28390e-01
    8  8.00e-05      2.82536e-01       2.12460e-01       2.59177e-01
    9  9.00e-05      3.39116e-01       1.91100e-01       2.89777e-01
   10  1.00e-04      3.64351e-01       2.43277e-01       3.23993e-01
   11  1.10e-04      3.83992e-01       2.46957e-01       3.38314e-01
   12  1.20e-04      4.24920e-01       2.47575e-01       3.65805e-01
   13  1.30e-04      4.33148e-01       2.73621e-01       3.79972e-01
   14  1.40e-04      4.72955e-01       2.68975e-01       4.04961e-01
   15  1.50e-04      4.90547e-01       3.02777e-01       4.27957e-01
   16  1.60e-04      5.36152e-01       2.87628e-01       4.53310e-01
   17  1.70e-04      5.55488e-01       2.87762e-01       4.66246e-01
   18  1.80e-04      5.83067e-01       3.08018e-01       4.91384e-01
   19  1.90e-04      6.12202e-01       2.84314e-01       5.02906e-01
   20  2.00e-04      6.34225e-01       3.06395e-01       5.24948e-01
   21  2.10e-04      6.82331e-01       2.98364e-01       5.54342e-01
   22  2.20e-04      6.93003e-01       2.87358e-01       5.57788e-01
   23  2.30e-04      7.09276e-01       2.53105e-01       5.57219e-01
   24  2.40e-04      7.48522e-01       2.88631e-01       5.95225e-01
   25  2.50e-04      7.50806e-01       3.22317e-01       6.07976e-01
   26  2.60e-04      8.00088e-01       3.21915e-01       6.40697e-01
   27  2.70e-04      8.75464e-01       3.13360e-01       6.88096e-01
   28  2.80e-04      8.95244e-01       2.68765e-01       6.86417e-01
