Delta = -5.947e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      1.30103e-02       2.11473e-02       1.57226e-02
    2  2.00e-06      2.21078e-02       4.32237e-02       2.91465e-02
    3  3.00e-06      3.36127e-02       5.68527e-02       4.13593e-02
    4  4.00e-06      4.62169e-02       7.70412e-02       5.64917e-02
    5  5.00e-06      5.82245e-02       1.06817e-01       7.44219e-02
    6  6.00e-06      7.02684e-02       9.85433e-02       7.96934e-02
    7  7.00e-06      7.57515e-02       1.45184e-01       9.88957e-02
    8  8.00e-06      8.73052e-02       1.27751e-01       1.00787e-01
    9  9.00e-06      1.05839e-01       1.20959e-01       1.10879e-01
   10  1.00e-05      1.10099e-01       1.49201e-01       1.23133e-01
   11  1.10e-05      1.20307e-01       1.18576e-01       1.19730e-01
   12  1.20e-05      1.33714e-01       1.52981e-01       1.40136e-01
   13  1.30e-05      1.52053e-01       1.79503e-01       1.61203e-01
   14  1.40e-05      1.66817e-01       1.93519e-01       1.75718e-01
   15  1.50e-05      1.77992e-01       2.41852e-01       1.99279e-01
   16  1.60e-05      1.93428e-01       2.33695e-01       2.06850e-01
   17  1.70e-05      2.06195e-01       2.91545e-01       2.34645e-01
   18  1.80e-05      2.24422e-01       2.67072e-01       2.38639e-01
   19  1.90e-05      2.36811e-01       2.50872e-01       2.41498e-01
   20  2.00e-05      2.56258e-01       2.72023e-01       2.61513e-01
   21  2.10e-05      2.61124e-01       2.89449e-01       2.70566e-01
   22  2.20e-05      2.77370e-01       2.64921e-01       2.73220e-01
   23  2.30e-05      2.81118e-01       2.75712e-01       2.79316e-01
   24  2.40e-05      2.86236e-01       2.63320e-01       2.78597e-01
   25  2.50e-05      3.01532e-01       2.83734e-01       2.95599e-01
   26  2.60e-05      3.11523e-01       2.82393e-01       3.01813e-01
   27  2.70e-05      3.28382e-01       2.18771e-01       2.91845e-01
   28  2.80e-05      3.43783e-01       2.07199e-01       2.98255e-01
   29  2.90e-05      3.76866e-01       2.29773e-01       3.27835e-01
   30  3.00e-05      3.93430e-01       2.23814e-01       3.36891e-01
   31  3.10e-05      4.03896e-01       1.96871e-01       3.34887e-01
   32  3.20e-05      3.96678e-01       2.24834e-01       3.39397e-01
   33  3.30e-05      3.96689e-01       2.24333e-01       3.39237e-01
   34  3.40e-05      4.07314e-01       2.36471e-01       3.50366e-01
   35  3.50e-05      4.20541e-01       2.50499e-01       3.63860e-01
   36  3.60e-05      4.31313e-01       2.32673e-01       3.65100e-01
   37  3.70e-05      4.42563e-01       3.33151e-01       4.06092e-01
   38  3.80e-05      4.62811e-01       2.99541e-01       4.08388e-01
   39  3.90e-05      4.74355e-01       2.99063e-01       4.15924e-01
   40  4.00e-05      5.02806e-01       2.70330e-01       4.25314e-01
   41  4.10e-05      5.29962e-01       2.51432e-01       4.37118e-01
   42  4.20e-05      5.31548e-01       3.27816e-01       4.63638e-01
   43  4.30e-05      5.41687e-01       2.96066e-01       4.59813e-01
   44  4.40e-05      5.37638e-01       3.24640e-01       4.66638e-01
   45  4.50e-05      5.44545e-01       2.68796e-01       4.52629e-01
   46  4.60e-05      5.57137e-01       2.83256e-01       4.65843e-01
   47  4.70e-05      5.73084e-01       2.82719e-01       4.76296e-01
   48  4.80e-05      6.08201e-01       2.74164e-01       4.96855e-01
   49  4.90e-05      6.24976e-01       3.26004e-01       5.25319e-01
   50  5.00e-05      6.29592e-01       2.92504e-01       5.17229e-01
   51  5.10e-05      6.41283e-01       2.93410e-01       5.25326e-01
   52  5.20e-05      6.39610e-01       2.59243e-01       5.12821e-01
   53  5.30e-05      6.35875e-01       3.02176e-01       5.24642e-01
   54  5.40e-05      6.29915e-01       3.27672e-01       5.29167e-01
   55  5.50e-05      6.33513e-01       3.10865e-01       5.25964e-01
   56  5.60e-05      6.40766e-01       3.41303e-01       5.40945e-01
   57  5.70e-05      6.75435e-01       2.67783e-01       5.39551e-01
   58  5.80e-05      7.01650e-01       3.21258e-01       5.74853e-01
   59  5.90e-05      7.12497e-01       3.34042e-01       5.86346e-01
   60  6.00e-05      7.10878e-01       2.99880e-01       5.73879e-01
   61  6.10e-05      7.29708e-01       2.95043e-01       5.84820e-01
   62  6.20e-05      7.56294e-01       2.67029e-01       5.93206e-01
   63  6.30e-05      7.72974e-01       2.73466e-01       6.06471e-01
   64  6.40e-05      7.83193e-01       2.91192e-01       6.19193e-01
   65  6.50e-05      8.01925e-01       3.26470e-01       6.43440e-01
   66  6.60e-05      8.08872e-01       3.11039e-01       6.42928e-01
   67  6.70e-05      8.14595e-01       3.21566e-01       6.50252e-01
   68  6.80e-05      8.31972e-01       3.01640e-01       6.55194e-01
   69  6.90e-05      8.42825e-01       3.26685e-01       6.70778e-01
   70  7.00e-05      8.54426e-01       3.31137e-01       6.79996e-01
   71  7.10e-05      8.74792e-01       2.67235e-01       6.72273e-01
   72  7.20e-05      8.73265e-01       2.76640e-01       6.74390e-01
   73  7.30e-05      8.79855e-01       3.01086e-01       6.86932e-01
   74  7.40e-05      8.77242e-01       2.39298e-01       6.64594e-01
   75  7.50e-05      8.79221e-01       3.23805e-01       6.94083e-01
   76  7.60e-05      8.91174e-01       2.53712e-01       6.78687e-01
   77  7.70e-05      8.97097e-01       3.07866e-01       7.00686e-01
   78  7.80e-05      9.14451e-01       2.87228e-01       7.05377e-01
   79  7.90e-05      9.38674e-01       2.77124e-01       7.18157e-01
   80  8.00e-05      9.37050e-01       2.81488e-01       7.18529e-01
   81  8.10e-05      9.51380e-01       2.67136e-01       7.23298e-01
   82  8.20e-05      9.74464e-01       2.90260e-01       7.46396e-01
   83  8.30e-05      9.81755e-01       2.56495e-01       7.40002e-01
   84  8.40e-05      1.00426e+00       2.93431e-01       7.67317e-01
   85  8.50e-05      1.01072e+00       2.27567e-01       7.49668e-01
   86  8.60e-05      1.03347e+00       2.66070e-01       7.77669e-01
   87  8.70e-05      1.05493e+00       2.67541e-01       7.92467e-01
   88  8.80e-05      1.06920e+00       2.61463e-01       7.99953e-01
   89  8.90e-05      1.11554e+00       2.74930e-01       8.35334e-01
   90  9.00e-05      1.11934e+00       2.54218e-01       8.30968e-01
   91  9.10e-05      1.13106e+00       2.78043e-01       8.46722e-01
   92  9.20e-05      1.15094e+00       2.54342e-01       8.52071e-01
   93  9.30e-05      1.16249e+00       2.52238e-01       8.59075e-01
   94  9.40e-05      1.18974e+00       3.09297e-01       8.96257e-01
   95  9.50e-05      1.20206e+00       2.88826e-01       8.97648e-01
   96  9.60e-05      1.21670e+00       2.76490e-01       9.03294e-01
   97  9.70e-05      1.23217e+00       3.24852e-01       9.29733e-01
   98  9.80e-05      1.22648e+00       3.14424e-01       9.22465e-01
   99  9.90e-05      1.24648e+00       2.94969e-01       9.29311e-01
