Delta = 5.306e-01 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      3.30851e-03       3.50432e-03       3.37378e-03
    2  2.00e-06      6.00735e-03       7.56480e-03       6.52650e-03
    3  3.00e-06      9.69773e-03       1.32067e-02       1.08674e-02
    4  4.00e-06      1.23329e-02       1.08436e-02       1.18365e-02
    5  5.00e-06      1.40554e-02       1.85508e-02       1.55539e-02
    6  6.00e-06      1.86039e-02       2.82032e-02       2.18036e-02
    7  7.00e-06      2.17548e-02       2.76687e-02       2.37261e-02
    8  8.00e-06      2.62125e-02       3.52796e-02       2.92349e-02
    9  9.00e-06      3.22438e-02       4.08210e-02       3.51029e-02
   10  1.00e-05      3.40614e-02       4.31511e-02       3.70913e-02
   11  1.10e-05      3.68433e-02       4.28631e-02       3.88499e-02
   12  1.20e-05      4.00836e-02       5.86382e-02       4.62684e-02
   13  1.30e-05      4.22508e-02       5.65915e-02       4.70310e-02
   14  1.40e-05      4.68549e-02       6.46371e-02       5.27823e-02
   15  1.50e-05      4.74324e-02       6.48507e-02       5.32385e-02
   16  1.60e-05      5.20271e-02       7.58723e-02       5.99755e-02
   17  1.70e-05      5.49650e-02       7.17565e-02       6.05622e-02
   18  1.80e-05      5.39337e-02       7.07847e-02       5.95507e-02
   19  1.90e-05      5.70338e-02       6.97079e-02       6.12585e-02
   20  2.00e-05      5.93733e-02       8.25774e-02       6.71080e-02
   21  2.10e-05      6.60582e-02       8.04648e-02       7.08604e-02
   22  2.20e-05      6.69821e-02       9.50189e-02       7.63277e-02
   23  2.30e-05      7.05106e-02       8.24141e-02       7.44784e-02
   24  2.40e-05      7.73323e-02       9.48919e-02       8.31855e-02
   25  2.50e-05      7.97650e-02       8.02145e-02       7.99148e-02
   26  2.60e-05      8.47340e-02       9.04958e-02       8.66546e-02
   27  2.70e-05      8.57021e-02       9.17157e-02       8.77066e-02
   28  2.80e-05      8.98673e-02       1.18180e-01       9.93048e-02
   29  2.90e-05      9.41983e-02       1.12986e-01       1.00461e-01
   30  3.00e-05      1.03102e-01       1.22449e-01       1.09551e-01
   31  3.10e-05      1.06812e-01       1.12789e-01       1.08805e-01
   32  3.20e-05      1.09478e-01       1.05978e-01       1.08311e-01
   33  3.30e-05      1.14240e-01       1.15341e-01       1.14607e-01
   34  3.40e-05      1.17432e-01       1.11814e-01       1.15559e-01
   35  3.50e-05      1.21217e-01       1.25824e-01       1.22753e-01
   36  3.60e-05      1.21260e-01       1.21827e-01       1.21449e-01
   37  3.70e-05      1.25037e-01       1.43292e-01       1.31122e-01
   38  3.80e-05      1.31241e-01       1.45126e-01       1.35870e-01
   39  3.90e-05      1.34282e-01       1.52107e-01       1.40224e-01
   40  4.00e-05      1.36396e-01       1.59916e-01       1.44236e-01
   41  4.10e-05      1.38550e-01       1.48284e-01       1.41795e-01
   42  4.20e-05      1.39385e-01       1.33818e-01       1.37529e-01
   43  4.30e-05      1.41797e-01       1.57638e-01       1.47077e-01
   44  4.40e-05      1.43104e-01       1.29745e-01       1.38651e-01
   45  4.50e-05      1.45074e-01       1.60559e-01       1.50235e-01
   46  4.60e-05      1.51041e-01       1.47329e-01       1.49804e-01
   47  4.70e-05      1.53543e-01       1.94093e-01       1.67059e-01
   48  4.80e-05      1.55143e-01       1.96896e-01       1.69060e-01
   49  4.90e-05      1.63010e-01       1.57133e-01       1.61051e-01
   50  5.00e-05      1.61459e-01       1.92753e-01       1.71891e-01
   51  5.10e-05      1.63285e-01       2.24599e-01       1.83723e-01
   52  5.20e-05      1.64745e-01       1.67697e-01       1.65729e-01
   53  5.30e-05      1.67583e-01       1.80753e-01       1.71973e-01
   54  5.40e-05      1.72313e-01       1.92462e-01       1.79029e-01
   55  5.50e-05      1.77611e-01       1.71974e-01       1.75732e-01
   56  5.60e-05      1.82971e-01       1.65212e-01       1.77051e-01
   57  5.70e-05      1.86239e-01       2.00235e-01       1.90905e-01
   58  5.80e-05      1.92428e-01       1.88715e-01       1.91190e-01
   59  5.90e-05      1.92337e-01       2.01616e-01       1.95430e-01
   60  6.00e-05      1.98482e-01       2.15749e-01       2.04237e-01
   61  6.10e-05      2.02935e-01       1.96017e-01       2.00629e-01
   62  6.20e-05      2.03616e-01       2.06405e-01       2.04546e-01
   63  6.30e-05      2.03649e-01       1.82843e-01       1.96713e-01
   64  6.40e-05      2.08497e-01       1.82184e-01       1.99726e-01
   65  6.50e-05      2.14996e-01       1.82469e-01       2.04153e-01
   66  6.60e-05      2.17618e-01       1.76241e-01       2.03826e-01
   67  6.70e-05      2.24103e-01       1.88662e-01       2.12289e-01
   68  6.80e-05      2.30351e-01       2.35387e-01       2.32029e-01
   69  6.90e-05      2.35241e-01       1.91275e-01       2.20586e-01
   70  7.00e-05      2.40409e-01       1.93898e-01       2.24905e-01
   71  7.10e-05      2.36784e-01       1.76396e-01       2.16654e-01
   72  7.20e-05      2.47705e-01       1.83631e-01       2.26347e-01
   73  7.30e-05      2.48927e-01       1.79379e-01       2.25744e-01
   74  7.40e-05      2.50178e-01       1.99397e-01       2.33251e-01
   75  7.50e-05      2.53350e-01       1.77692e-01       2.28131e-01
   76  7.60e-05      2.62439e-01       2.07827e-01       2.44235e-01
   77  7.70e-05      2.73592e-01       1.94273e-01       2.47152e-01
   78  7.80e-05      2.72154e-01       1.93118e-01       2.45809e-01
   79  7.90e-05      2.75152e-01       2.32660e-01       2.60988e-01
   80  8.00e-05      2.80363e-01       2.32758e-01       2.64494e-01
   81  8.10e-05      2.86625e-01       2.04771e-01       2.59340e-01
   82  8.20e-05      2.97975e-01       2.42263e-01       2.79404e-01
   83  8.30e-05      2.99732e-01       2.26615e-01       2.75360e-01
   84  8.40e-05      3.06844e-01       1.76151e-01       2.63280e-01
   85  8.50e-05      3.09172e-01       2.20743e-01       2.79696e-01
   86  8.60e-05      3.05387e-01       2.02898e-01       2.71224e-01
   87  8.70e-05      3.05368e-01       1.90255e-01       2.66997e-01
   88  8.80e-05      3.07487e-01       2.33608e-01       2.82861e-01
   89  8.90e-05      3.13160e-01       2.25998e-01       2.84106e-01
   90  9.00e-05      3.09224e-01       2.30425e-01       2.82957e-01
   91  9.10e-05      3.13360e-01       2.50322e-01       2.92347e-01
   92  9.20e-05      3.13571e-01       2.79309e-01       3.02150e-01
   93  9.30e-05      3.20722e-01       2.09636e-01       2.83694e-01
   94  9.40e-05      3.23867e-01       2.39570e-01       2.95768e-01
   95  9.50e-05      3.36132e-01       2.56532e-01       3.09598e-01
   96  9.60e-05      3.40502e-01       2.10532e-01       2.97179e-01
   97  9.70e-05      3.51561e-01       2.68857e-01       3.23993e-01
   98  9.80e-05      3.51171e-01       2.55146e-01       3.19163e-01
   99  9.90e-05      3.56809e-01       2.35266e-01       3.16295e-01
  100  1.00e-04      3.59730e-01       2.42895e-01       3.20785e-01
  101  1.01e-04      3.67455e-01       2.33162e-01       3.22691e-01
  102  1.02e-04      3.71529e-01       2.43068e-01       3.28708e-01
  103  1.03e-04      3.76077e-01       2.96799e-01       3.49651e-01
  104  1.04e-04      3.88459e-01       1.94063e-01       3.23660e-01
  105  1.05e-04      3.89256e-01       2.34101e-01       3.37538e-01
  106  1.06e-04      3.96799e-01       2.48160e-01       3.47253e-01
  107  1.07e-04      4.00397e-01       2.12936e-01       3.37910e-01
  108  1.08e-04      4.03173e-01       2.42039e-01       3.49462e-01
  109  1.09e-04      4.03157e-01       2.69403e-01       3.58572e-01
  110  1.10e-04      4.04734e-01       2.35361e-01       3.48276e-01
  111  1.11e-04      4.06034e-01       2.61279e-01       3.57782e-01
  112  1.12e-04      4.07052e-01       3.03536e-01       3.72547e-01
  113  1.13e-04      4.13336e-01       2.25356e-01       3.50676e-01
  114  1.14e-04      4.23472e-01       2.37816e-01       3.61587e-01
  115  1.15e-04      4.26134e-01       2.39011e-01       3.63759e-01
  116  1.16e-04      4.32702e-01       2.49699e-01       3.71701e-01
  117  1.17e-04      4.38028e-01       2.19294e-01       3.65117e-01
  118  1.18e-04      4.39861e-01       2.75726e-01       3.85149e-01
  119  1.19e-04      4.42767e-01       2.51451e-01       3.78995e-01
  120  1.20e-04      4.51671e-01       2.33849e-01       3.79063e-01
  121  1.21e-04      4.51560e-01       2.62713e-01       3.88611e-01
