Delta = 2.000e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  1.00e-06      4.13544e-03       3.88000e-03       4.05029e-03
    2  2.00e-06      9.86960e-03       7.62335e-03       9.12085e-03
    3  3.00e-06      1.16727e-02       1.60983e-02       1.31479e-02
    4  4.00e-06      1.45227e-02       1.87176e-02       1.59210e-02
    5  5.00e-06      1.73675e-02       2.37301e-02       1.94883e-02
    6  6.00e-06      2.16659e-02       2.62070e-02       2.31796e-02
    7  7.00e-06      2.70475e-02       3.47645e-02       2.96198e-02
    8  8.00e-06      3.18011e-02       3.86166e-02       3.40729e-02
    9  9.00e-06      3.56674e-02       3.75752e-02       3.63033e-02
   10  1.00e-05      4.28128e-02       5.18458e-02       4.58238e-02
   11  1.10e-05      4.83122e-02       5.42954e-02       5.03066e-02
   12  1.20e-05      4.97777e-02       6.54792e-02       5.50115e-02
   13  1.30e-05      5.29559e-02       4.27443e-02       4.95520e-02
   14  1.40e-05      5.56426e-02       6.10370e-02       5.74407e-02
   15  1.50e-05      6.21659e-02       6.66068e-02       6.36462e-02
   16  1.60e-05      6.97626e-02       6.51443e-02       6.82232e-02
   17  1.70e-05      7.61013e-02       5.78895e-02       7.00307e-02
   18  1.80e-05      7.95825e-02       5.94496e-02       7.28716e-02
   19  1.90e-05      8.37833e-02       7.18313e-02       7.97993e-02
   20  2.00e-05      8.44186e-02       8.27794e-02       8.38722e-02
   21  2.10e-05      8.82795e-02       8.98478e-02       8.88022e-02
   22  2.20e-05      9.58078e-02       9.48271e-02       9.54809e-02
   23  2.30e-05      9.97461e-02       9.56219e-02       9.83714e-02
   24  2.40e-05      1.03293e-01       9.93099e-02       1.01966e-01
   25  2.50e-05      1.06628e-01       9.63036e-02       1.03186e-01
   26  2.60e-05      1.07971e-01       1.05600e-01       1.07181e-01
   27  2.70e-05      1.10496e-01       1.07460e-01       1.09484e-01
   28  2.80e-05      1.09659e-01       1.10195e-01       1.09838e-01
   29  2.90e-05      1.10941e-01       1.07394e-01       1.09759e-01
   30  3.00e-05      1.14349e-01       1.05894e-01       1.11530e-01
   31  3.10e-05      1.17179e-01       1.16297e-01       1.16885e-01
   32  3.20e-05      1.19858e-01       1.34059e-01       1.24591e-01
   33  3.30e-05      1.23949e-01       9.54019e-02       1.14433e-01
   34  3.40e-05      1.27714e-01       1.26195e-01       1.27208e-01
   35  3.50e-05      1.32426e-01       1.15596e-01       1.26816e-01
   36  3.60e-05      1.35886e-01       1.25317e-01       1.32363e-01
   37  3.70e-05      1.42845e-01       1.32871e-01       1.39521e-01
   38  3.80e-05      1.40993e-01       1.30395e-01       1.37460e-01
   39  3.90e-05      1.45102e-01       1.39581e-01       1.43262e-01
   40  4.00e-05      1.44855e-01       1.54190e-01       1.47967e-01
   41  4.10e-05      1.46177e-01       1.64913e-01       1.52423e-01
   42  4.20e-05      1.48706e-01       1.08609e-01       1.35340e-01
   43  4.30e-05      1.54153e-01       1.40932e-01       1.49746e-01
   44  4.40e-05      1.61630e-01       1.25827e-01       1.49696e-01
   45  4.50e-05      1.67754e-01       1.72185e-01       1.69231e-01
   46  4.60e-05      1.74869e-01       1.65246e-01       1.71661e-01
   47  4.70e-05      1.83900e-01       1.33661e-01       1.67154e-01
   48  4.80e-05      1.87567e-01       1.70378e-01       1.81838e-01
   49  4.90e-05      1.92363e-01       1.62247e-01       1.82324e-01
   50  5.00e-05      1.95297e-01       1.68508e-01       1.86367e-01
   51  5.10e-05      1.95348e-01       1.49842e-01       1.80180e-01
   52  5.20e-05      2.00312e-01       1.68239e-01       1.89621e-01
   53  5.30e-05      2.04878e-01       1.77298e-01       1.95685e-01
   54  5.40e-05      2.09617e-01       1.45195e-01       1.88143e-01
   55  5.50e-05      2.11165e-01       1.55837e-01       1.92722e-01
   56  5.60e-05      2.16783e-01       1.47356e-01       1.93641e-01
   57  5.70e-05      2.15053e-01       1.63156e-01       1.97754e-01
   58  5.80e-05      2.15975e-01       1.62943e-01       1.98297e-01
   59  5.90e-05      2.15545e-01       1.68948e-01       2.00013e-01
   60  6.00e-05      2.23910e-01       1.78747e-01       2.08856e-01
   61  6.10e-05      2.26001e-01       1.37759e-01       1.96587e-01
   62  6.20e-05      2.31297e-01       1.62324e-01       2.08306e-01
