Delta = -3.579e+00 gamma
 step      t        T_in_plane/mK   T_out_of_plane/mK   T_tot/mK
    0  0.00e+00      1.88638e-29       0.00000e+00       1.25759e-29
    1  5.00e-06      1.19087e-01       1.51921e-01       1.30032e-01
    2  1.00e-05      2.19398e-01       2.55381e-01       2.31392e-01
    3  1.50e-05      3.25285e-01       2.99764e-01       3.16778e-01
    4  2.00e-05      4.16190e-01       4.04481e-01       4.12287e-01
    5  2.50e-05      5.03456e-01       3.46087e-01       4.51000e-01
    6  3.00e-05      5.90228e-01       3.29304e-01       5.03254e-01
    7  3.50e-05      6.87945e-01       3.70438e-01       5.82109e-01
    8  4.00e-05      7.30331e-01       4.48395e-01       6.36352e-01
    9  4.50e-05      8.51052e-01       3.82371e-01       6.94825e-01
   10  5.00e-05      9.55143e-01       4.05314e-01       7.71867e-01
   11  5.50e-05      1.03964e+00       4.21449e-01       8.33575e-01
   12  6.00e-05      1.10351e+00       3.71939e-01       8.59655e-01
   13  6.50e-05      1.26614e+00       3.63011e-01       9.65096e-01
   14  7.00e-05      1.38483e+00       3.32064e-01       1.03391e+00
   15  7.50e-05      1.48014e+00       2.86030e-01       1.08210e+00
   16  8.00e-05      1.51839e+00       3.61670e-01       1.13281e+00
   17  8.50e-05      1.61024e+00       2.97688e-01       1.17272e+00
   18  9.00e-05      1.82105e+00       4.11332e-01       1.35114e+00
   19  9.50e-05      2.01535e+00       3.77888e-01       1.46953e+00
   20  1.00e-04      2.10904e+00       4.44509e-01       1.55420e+00
   21  1.05e-04      2.35622e+00       3.62926e-01       1.69179e+00
   22  1.10e-04      2.42042e+00       3.27421e-01       1.72275e+00
   23  1.15e-04      2.60925e+00       2.60937e-01       1.82648e+00
   24  1.20e-04      2.68376e+00       2.74732e-01       1.88075e+00
   25  1.25e-04      2.81902e+00       3.75832e-01       2.00462e+00
   26  1.30e-04      2.88544e+00       3.64564e-01       2.04515e+00
   27  1.35e-04      3.01614e+00       3.03447e-01       2.11191e+00
   28  1.40e-04      3.05681e+00       3.19553e-01       2.14439e+00
   29  1.45e-04      3.18605e+00       3.11951e-01       2.22802e+00
   30  1.50e-04      3.19452e+00       3.87033e-01       2.25869e+00
   31  1.55e-04      3.12896e+00       3.59140e-01       2.20569e+00
   32  1.60e-04      3.14004e+00       3.79335e-01       2.21981e+00
   33  1.65e-04      3.26374e+00       3.17768e-01       2.28175e+00
   34  1.70e-04      3.31864e+00       3.11119e-01       2.31613e+00
   35  1.75e-04      3.52525e+00       3.31233e-01       2.46058e+00
   36  1.80e-04      3.42704e+00       3.50310e-01       2.40146e+00
   37  1.85e-04      3.57565e+00       3.84549e-01       2.51195e+00
   38  1.90e-04      3.77599e+00       2.92633e-01       2.61487e+00
   39  1.95e-04      3.86327e+00       3.35576e-01       2.68737e+00
   40  2.00e-04      3.96653e+00       3.99510e-01       2.77753e+00
   41  2.05e-04      4.07967e+00       4.06575e-01       2.85531e+00
   42  2.10e-04      4.23451e+00       4.13094e-01       2.96071e+00
   43  2.15e-04      4.16651e+00       3.79511e-01       2.90418e+00
   44  2.20e-04      4.31022e+00       3.42105e-01       2.98752e+00
   45  2.25e-04      4.53911e+00       3.79459e-01       3.15256e+00
   46  2.30e-04      4.53940e+00       2.97518e-01       3.12544e+00
   47  2.35e-04      4.67427e+00       4.37621e-01       3.26205e+00
   48  2.40e-04      4.82015e+00       3.77260e-01       3.33919e+00
   49  2.45e-04      5.02255e+00       3.12371e-01       3.45249e+00
   50  2.50e-04      5.13174e+00       2.99911e-01       3.52113e+00
   51  2.55e-04      5.29906e+00       3.33905e-01       3.64401e+00
   52  2.60e-04      5.22556e+00       2.76702e-01       3.57594e+00
   53  2.65e-04      5.21739e+00       4.12516e-01       3.61577e+00
   54  2.70e-04      5.26553e+00       3.47775e-01       3.62628e+00
   55  2.75e-04      5.49002e+00       2.99008e-01       3.75968e+00
   56  2.80e-04      5.81129e+00       3.85769e-01       4.00278e+00
   57  2.85e-04      5.80595e+00       3.54404e-01       3.98877e+00
   58  2.90e-04      5.93537e+00       3.31997e-01       4.06758e+00
   59  2.95e-04      5.89941e+00       3.27000e-01       4.04194e+00
   60  3.00e-04      5.80570e+00       3.59939e-01       3.99045e+00
   61  3.05e-04      5.90515e+00       3.69945e-01       4.06008e+00
   62  3.10e-04      6.07726e+00       3.03787e-01       4.15277e+00
   63  3.15e-04      6.19689e+00       3.23016e-01       4.23893e+00
   64  3.20e-04      6.12942e+00       4.00611e-01       4.21981e+00
   65  3.25e-04      6.27596e+00       3.34077e-01       4.29534e+00
   66  3.30e-04      6.37226e+00       2.58926e-01       4.33449e+00
   67  3.35e-04      6.40662e+00       3.29365e-01       4.38087e+00
   68  3.40e-04      6.64664e+00       3.81244e-01       4.55818e+00
   69  3.45e-04      6.84470e+00       3.50784e-01       4.68006e+00
   70  3.50e-04      6.82527e+00       3.34677e-01       4.66174e+00
   71  3.55e-04      7.05498e+00       3.58661e-01       4.82287e+00
   72  3.60e-04      7.23585e+00       3.67391e-01       4.94636e+00
   73  3.65e-04      7.24899e+00       3.55547e-01       4.95117e+00
   74  3.70e-04      7.41929e+00       4.29928e-01       5.08950e+00
   75  3.75e-04      7.52952e+00       3.36319e-01       5.13179e+00
   76  3.80e-04      7.61841e+00       3.65335e-01       5.20072e+00
   77  3.85e-04      7.57076e+00       4.13607e-01       5.18504e+00
   78  3.90e-04      7.95560e+00       3.50509e-01       5.42057e+00
   79  3.95e-04      7.97439e+00       3.95396e-01       5.44806e+00
   80  4.00e-04      8.15038e+00       3.64156e-01       5.55497e+00
